name,group,wikipedia,wikipedia_title,area,term,source,wikidata,family_name,given_name,image,gender,birth_date
Eglantina Gjermeni,Socialist Party,https://en.wikipedia.org/wiki/Eglantina_Gjermeni,Eglantina Gjermeni,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Enkelejda Shkreli,Socialist Party,https://en.wikipedia.org/wiki/Enkelejda_Shkreli,Enkelejda Shkreli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Fatmir Mediu,Republican Party,https://en.wikipedia.org/wiki/Fatmir_Mediu,Fatmir Mediu,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q983272,,Fatmir,,male,1967-01-21
Fatmir Xhafaj,Socialist Party,https://en.wikipedia.org/wiki/Fatmir_Xhafaj,Fatmir Xhafaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Florian Mima,Democratic Party,https://en.wikipedia.org/wiki/Florian_Mima,Florian Mima,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Gent Strazimiri,Democratic Party,https://en.wikipedia.org/wiki/Gent_Strazimiri,Gent Strazimiri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q10953116,,Gent,,male,1972-10-06
Gerti Bogdani,Democratic Party,https://en.wikipedia.org/wiki/Gerti_Bogdani,Gerti Bogdani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5553235,,Gerti,,male,1980-07-07
Ilir Rusmali,Democratic Party,https://en.wikipedia.org/wiki/Ilir_Rusmali,Ilir Rusmali,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5998384,,,,female,
Ilir Meta,Socialist Movement for Integration,https://en.wikipedia.org/wiki/Ilir_Meta,Ilir Meta,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q727132,,,"https://upload.wikimedia.org/wikipedia/commons/d/de/Ilir_Meta_detail,_000824-D-9880W-002.jpg",male,1969-03-24
Ilir Gjoni,Socialist Party,https://en.wikipedia.org/wiki/Ilir_Gjoni,Ilir Gjoni,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Kastriot Islami,Independent,https://en.wikipedia.org/wiki/Kastriot_Islami,Kastriot Islami,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q1722312,,Kastriot,,male,1952-08-18
Lajla Pernaska,Democratic Party,https://en.wikipedia.org/wiki/Lajla_Pernaska,Lajla Pernaska,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4972400,,,,female,1961-06-14
Luan Skuqi,Democratic Party,https://en.wikipedia.org/wiki/Luan_Skuqi,Luan Skuqi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6694983,,Luan,,male,1951-10-25
Majlinda Bregu,Democratic Party,https://en.wikipedia.org/wiki/Majlinda_Bregu,Majlinda Bregu,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q321753,,Majlinda,https://upload.wikimedia.org/wikipedia/commons/f/fe/Majlinda_Bregu_2011.jpg,female,1974-05-19
Myqerem Tafaj,Democratic Party,https://en.wikipedia.org/wiki/Myqerem_Tafaj,Myqerem Tafaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q1103899,,,,male,1957-11-14
Namik Dokle,Socialist Party,https://en.wikipedia.org/wiki/Namik_Dokle,Namik Dokle,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q980323,,,,male,1946-03-11
Rajmonda Bulku,Democratic Party,https://en.wikipedia.org/wiki/Rajmonda_Bulku,Rajmonda Bulku,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7286316,,,,female,
Sajmir Tahiri,Socialist Party,https://en.wikipedia.org/wiki/Sajmir_Tahiri,Sajmir Tahiri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Sali Berisha,Democratic Party,https://en.wikipedia.org/wiki/Sali_Berisha,Sali Berisha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q57625,,,"https://upload.wikimedia.org/wikipedia/commons/5/53/Msc_2006-Saturday,_16.00_-_18.00-Berisha.jpg",male,1944-10-15
Tritan Shehu,Democratic Party,https://en.wikipedia.org/wiki/Tritan_Shehu,Tritan Shehu,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7844256,,,,male,
Vasilika Hysi,Socialist Party,https://en.wikipedia.org/wiki/Vasilika_Hysi,Vasilika Hysi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Viktor Gumi,Democratic Party,https://en.wikipedia.org/wiki/Viktor_Gumi,Viktor Gumi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7929687,,Viktor,,male,
Xhemal Qefalia,Socialist Party,https://en.wikipedia.org/wiki/Xhemal_Qefalia,Xhemal Qefalia,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arben Isaraj,Socialist Party,https://en.wikipedia.org/wiki/Arben_Isaraj,Arben Isaraj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arben Malaj,Socialist Party,https://en.wikipedia.org/wiki/Arben_Malaj,Arben Malaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4784677,,Arben,https://upload.wikimedia.org/wikipedia/commons/9/91/Arben_Malaj.jpg,male,1961-09-19
Ardian Kollozi6,Democratic Party,https://en.wikipedia.org/wiki/Ardian_Kollozi#endnote_6,Ardian Kollozi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Astrit Patozi,Democratic Party,https://en.wikipedia.org/wiki/Astrit_Patozi,Astrit Patozi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4811462,,,,male,1964-07-22
Dashamir Tahiri,PDIU,https://en.wikipedia.org/wiki/Dashamir_Tahiri,Dashamir Tahiri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5226580,,,,male,
Eltar Deda,Socialist Party,https://en.wikipedia.org/wiki/Eltar_Deda,Eltar Deda,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Fatmir Toci,Socialist Party,https://en.wikipedia.org/wiki/Fatmir_Toci,Fatmir Toci,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Kreshnik Çipi,Democratic Party,https://en.wikipedia.org/wiki/Kreshnik_%C3%87ipi,Kreshnik Çipi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q13041103,,Kreshnik,,male,1958-01-01
Leonard Demi,Democratic Party,https://en.wikipedia.org/wiki/Leonard_Demi,Leonard Demi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6525231,,Leonard,,male,
Luiza Xhuvani,Socialist Party,https://en.wikipedia.org/wiki/Luiza_Xhuvani,Luiza Xhuvani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Shpetim Idrizi,PDIU,https://en.wikipedia.org/wiki/Shpetim_Idrizi,Shpetim Idrizi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Vangjel Dule,Unity for Human Rights Party,"","",Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
