id,name,group,email,image,term,source,name__en,name__mt,name__nl,name__pl,name__de,name__it,wikipedia__en,wikipedia__it,wikipedia__mt,wikipedia__pl,gender,birth_date,given_name,name__fr,name__es,wikipedia__de,wikipedia__fr,identifier__freebase,name__pt,name__sv,wikipedia__nl,wikipedia__pt,wikipedia__sv,identifier__viaf,identifier__gnd,identifier__imdb,name__da,wikipedia__da,identifier__lcauth,website,identifier__europarlmep,name__la,wikipedia__la,name__az,wikipedia__az,name__ga,name__ro,name__ru,name__hu,name__pt_br,name__tr,name__eo,name__lb,name__cs,name__et,name__de_ch,name__el,name__en_ca,name__en_gb,name__nb,name__lmo,name__uk,name__zh,name__io,name__fi,name__lt,name__fa,name__nn,name__id,name__ja,name__be,name__ko,wikipedia__be,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__parlement,name__ka,wikipedia__ka,wikipedia__commons
muscat-joseph,Joseph Muscat,Partit Laburista,joseph.muscat@gov.mt,http://www.parlament.mt/file.aspx?f=31750,12,http://www.parlament.mt/muscat-joseph,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,male,1974-01-22,Joseph,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,/m/0546jk,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,310665003,,,Joseph Muscat,,n2014050053,http://www.josephmuscat.com,28121,Iosephus Muscat,Iosephus Muscat,,,Joseph Muscat,Joseph Muscat,"Мускат, Джозеф",Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Τζόζεφ Μούσκατ,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Джозеф Мускат,约瑟夫·穆斯卡特,Joseph Muscat,Joseph Muscat,Joseph Muscat,جوزف موسکات,Joseph Muscat,Joseph Muscat,ジョゼフ・ムスカット,Джозеф Мускат,조지프 무스카트,Джозеф Мускат,Joseph Muscat,Τζόζεφ Μούσκατ,Joseph Muscat,Joseph Muscat,Joseph Muscat,جوزف موسکات,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,ジョゼフ・ムスカット,조지프 무스카트,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,Joseph Muscat,"Мускат, Джозеф",Joseph Muscat,Джозеф Мускат,约瑟夫·穆斯卡特,vj7vdvdlifyo,,,
parnis-silvio,Silvio Parnis,Partit Laburista,silvio.parnis@partitlaburidta.org,http://www.parlament.mt/file.aspx?f=49206,12,http://www.parlament.mt/parnis-silvio,Silvio Parnis,,,,,,Silvio Parnis,,,,male,,Silvio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refalo-anton,Anton Refalo,Partit Laburista,anton.refalo@gov.mt,http://www.parlament.mt/file.aspx?f=31747,12,http://www.parlament.mt/refalo-anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debono-giovanna,Giovanna Debono,Partit Nazzjonlista,giovanna.debono@parlament.mt,http://www.parlament.mt/file.aspx?f=32390,12,http://www.parlament.mt/debono-giovanna,Giovanna Debono,,Giovanna Debono,,Giovanna Debono,,Giovanna Debono,,,,female,1956-11-25,Giovanna,Giovanna Debono,Giovanna Debono,Giovanna Debono,Giovanna Debono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sammut-joseph,Joseph Sammut,Partit Laburista,joseph.m.sammut@parlament.mt,http://www.parlament.mt/file.aspx?f=31731,12,http://www.parlament.mt/sammut-joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schembri-deborah,Deborah Schembri,Partit Laburista,deborah.schembri@parlament.mt,http://www.parlament.mt/file.aspx?f=33277,12,http://www.parlament.mt/schembri-deborah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schembri-silvio,Silvio Schembri,Partit Laburista,silvio.schembri@parlament.mt,http://www.parlament.mt/file.aspx?f=35979,12,http://www.parlament.mt/schembri-silvio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scicluna-edward,Edward Scicluna,Partit Laburista,edward.scicluna@gov.mt,http://www.parlament.mt/file.aspx?f=31741,12,http://www.parlament.mt/scicluna-edward,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,,Edward Scicluna,,Edward Scicluna,Edward Scicluna,male,1946-10-12,Edward,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,/m/064l9f7,,,,,,200997651,170808289,,Edward Scicluna,Edward Scicluna,n84130732,http://www.edwardscicluna.com,96671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vella-george,George Vella,Partit Laburista,george.vella@gov.mt,http://www.parlament.mt/file.aspx?f=31736,12,http://www.parlament.mt/vella-george,George William Vella,George Vella,George William Vella,George William Vella,George Vella,George William Vella,George William Vella,George William Vella,George Vella,George William Vella,male,1942-04-24,George,George William Vella,George William Vella,George Vella,George Vella,,,,George William Vella,,,,,,,,,,23937,Georgius Gulielmus Vella,Georgius Vella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zammitlewis-edward,Edward Zammit-Lewis,Partit Laburista,edward.zammit-lewis@gov.mt,http://www.parlament.mt/file.aspx?f=31740,12,http://www.parlament.mt/zammitlewis-edward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
