name,wikiname,group,parish,area,area_id,term,source,id,name__en,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__viaf,identifier__lcauth,image,identifier__imdb,family_name,identifier__gnd,death_date,name__el,name__fr,name__zh,name__es,name__ru,name__et,name__de,name__pl,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__zh,name__it,name__pt,name__vi,name__fi,name__fa,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__pt,wikipedia__vi,name__ko,name__oc,name__yo,name__ms,name__id,name__ja,name__sh,name__tr,name__ca,name__ilo,name__cy,name__io,name__mr,name__ka,name__ml,name__kk,name__nds,name__vmf,name__en_ca,name__en_gb,name__he,name__pt_br,name__uk,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__he,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__sh,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo
Lloyd B. Smith,"",People's National Party,St. James,St. James Central,ocd-division/country:ja/parish:st._james/constituency:st._james_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Bartlett,Edmund Bartlett,Jamaica Labour Party,St. James,St. James East Central,ocd-division/country:ja/parish:st._james/constituency:st._james_east_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1285979,Edmund Bartlett,Edmund Bartlett,male,1950-12-03,,Edmund,,,,,,,,,Edmund Bartlett,,Edmund Bartlett,,,Edmund Bartlett,,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horace Chang,Horace Chang,Jamaica Labour Party,St. James,St. James North West,ocd-division/country:ja/parish:st._james/constituency:st._james_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1627852,Horace Chang,Horace Chang,male,1952-11-10,,Horace,,,,,,,,,Horace Chang,,Horace Chang,,,Horace Chang,,Horace Chang,Horace Chang,Horace Chang,Horace Chang,Horace Chang,Horace Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Kellier,"",People's National Party,St. James,St. James South,ocd-division/country:ja/parish:st._james/constituency:st._james_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Ffolkes-Abrahams,"",People's National Party,St. James,St. James West Central,ocd-division/country:ja/parish:st._james/constituency:st._james_west_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morais Guy,"",People's National Party,St. Mary,St. Mary Central,ocd-division/country:ja/parish:st._mary/constituency:st._mary_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Green,Winston Green,People's National Party,St. Mary,St. Mary South East,ocd-division/country:ja/parish:st._mary/constituency:st._mary_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q8026090,Winston Green,Winston Green,male,,,Winston,,,,,,,,,,,,,,Winston Green,,Winston Green,Winston Green,Winston Green,Winston Green,Winston Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joylan Silvera,"",People's National Party,St. Mary,St. Mary West,ocd-division/country:ja/parish:st._mary/constituency:st._mary_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenton Ferguson,Fenton Ferguson,People's National Party,St. Thomas,St. Thomas East,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q16211502,Fenton Ferguson,Fenton Ferguson,male,,,,,,,,,,,,Fenton Ferguson,,,,,Fenton Ferguson,,Fenton Ferguson,,,,,,,,,,,,,,Fenton Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Robertson,James Robertson (Jamaican politician),Jamaica Labour Party,St. Thomas,St. Thomas West,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1681050,James Robertson,James Robertson (Jamaican politician),male,1966-06-09,,James,,,,,,,,,James Robertson,,James Robertson,,,James Robertson,,,James Robertson,James Robertson,James Robertson,James Robertson,James Robertson (Politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Atkinson,"",People's National Party,Trelawny,Trelawny North,ocd-division/country:ja/parish:trelawny/constituency:trelawny_north,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marisa Dalrymple-Philibert,"",Jamaica Labour Party,Trelawny,Trelawny South,ocd-division/country:ja/parish:trelawny/constituency:trelawny_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Clarke,Roger Clarke (politician),People's National Party,Westmoreland,Westmoreland Central,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1314683,Roger Clarke,Roger Clarke (politician),male,1940-06-11,,Roger,270188187,,,,,,2014-08-28,,Roger Clarke,,,,,Roger Clarke,,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Buchanan,"",People's National Party,Westmoreland,Westmoreland East,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Wykeham McNeil,"",People's National Party,Westmoreland,Westmoreland West,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
