executive,en_party_name,website,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name,area_id,term,name__en,gender,birth_date,given_name,identifier__viaf,family_name,identifier__lcauth,identifier__sudoc,identifier__isni,identifier__nta,identifier__freebase,identifier__hansard,wikipedia__en,identifier__parliamentdotuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf
Commissioner-Welsh Liberal Democrats,Welsh Liberal Democrats,http://senedd.assembly.wales/mgUserInfo.aspx?UID=133,133,Commissioner,http://senedd.assembly.wales/UserData/3/3/1/Info00000133/bigpic.jpg,Peter.Black@assembly.wales,,Peter Black,Welsh Liberal Democrats,South Wales West,http://twitter.com/peterblackwales,South Wales West,,ocd-division/country:gb-wls/region:south_wales_west,4,Peter Black,male,1960-01-30,Peter,29672987,,,035358904,0000 0001 1440 6093,291414435,,,Peter Black (Welsh politician),,Peter Black (gwleidydd Seisnig),Peter Black,Peter Black,Peter Black,Peter Black,,Peter Black (gwleidydd Seisnig),,,,,,,,,,,Peter Black,Peter Black,Peter Black,Peter Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=543,543,,http://senedd.assembly.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Altaf.Hussain@Assembly.wales,,Altaf Hussain,Welsh Conservative Party,South Wales West,,South Wales West,,ocd-division/country:gb-wls/region:south_wales_west,4,Altaf Hussain,male,,,,,,,,,,,Altaf Hussain (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=159,159,,http://senedd.assembly.wales/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Jenkins@assembly.wales,,Bethan Jenkins,Plaid Cymru,South Wales West,,South Wales West,,ocd-division/country:gb-wls/region:south_wales_west,4,Bethan Jenkins,female,1981-12-09,,128264727,,,,,,,,Bethan Jenkins,,Bethan Jenkins,,,Bethan Jenkins,Bethan Jenkins,,Bethan Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=205,205,,http://senedd.assembly.wales/UserData/5/0/2/Info00000205/bigpic.jpg,David.Rees@assembly.wales,Aberavon,David Rees,Welsh Labour,Aberavon,http://twitter.com/DavidReesAM,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:aberavon,4,David Rees,male,,David,,,,,,,,,David Rees (politician),,,,,,David Rees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The First Minister,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=102,102,The First Minister,http://senedd.assembly.wales/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,Bridgend,Carwyn Jones,Welsh Labour,Bridgend,,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:bridgend,4,Carwyn Jones,male,1967-03-21,Carwyn,256290018,Jones,no2009057457,,,,/m/09bptc,,Carwyn Jones,,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,,Carwyn Jones,,,Carwyn Jones,,,Carwyn Jones,Carwyn Jones,,Carwyn Jones,Carwyn Jones,,,,,,,Carwyn Jones,Carwyn Jones,카륀 존스,"Джонс, Каруин",Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Карвін Джонс,Carwyn Jones,Carwyn Jones,Category:Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,카륀 존스,Carwyn Jones,"Джонс, Каруин",Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Карвін Джонс,,,,,,,,,,,
"The Minister for Economy, Science and Transport",Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=155,155,"The Minister for Economy, Science and Transport",http://senedd.assembly.wales/UserData/5/5/1/Info00000155/bigpic.jpg,Edwina.Hart@assembly.wales,Gower,Edwina Hart,Welsh Labour,Gower,,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:gower,4,Edwina Hart,female,1957-04-26,Edwina,63834552,,,,,,,,Edwina Hart,,Edwina Hart,Edwina Hart,Edwina Hart,Edwina Hart,Edwina Hart,,Edwina Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=180,180,,http://senedd.assembly.wales/UserData/0/8/1/Info00000180/bigpic.jpg,Gwenda.Thomas@assembly.wales,Neath,Gwenda Thomas,Welsh Labour,Neath,http://twitter.com/Gwendathomas,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:neath,4,Gwenda Thomas,female,1942-01-22,,,,,,,,,,Gwenda Thomas,,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=152,152,,http://senedd.assembly.wales/UserData/2/5/1/Info00000152/bigpic.jpg,Janice.Gregory@assembly.wales,Ogmore,Janice Gregory,Welsh Labour,Ogmore,,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:ogmore,4,Janice Gregory,female,1955-01-10,Janice,,,,,,,,,Janice Gregory,,,,Janice Gregory,Janice Gregory,Janice Gregory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=332,332,,http://senedd.assembly.wales/UserData/2/3/3/Info00000332/bigpic.jpg,Mike.Hedges@assembly.wales,Swansea East,Mike Hedges,Welsh Labour,Swansea East,http://twitter.com/MikeHedgesAM,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:swansea_east,4,Mike Hedges,male,1956-07-08,Mike,,,,,,,,,Mike Hedges (politician),,,Mike Hedges,Mike Hedges,Mike Hedges,Mike Hedges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deputy Minister for Skills and Technology,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=584,584,The Deputy Minister for Skills and Technology,http://senedd.assembly.wales/UserData/4/8/5/Info00000584/bigpic.jpg,Julie.James@assembly.wales,Swansea West,Julie James,Welsh Labour,Swansea West,http://twitter.com/JulieJamesAM,,,ocd-division/country:gb-wls/region:south_wales_west/constituency:swansea_west,4,Julie James,female,,Julie,,James,,,,,,,Julie James,,,,,,Julie James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=185,185,,http://senedd.assembly.wales/UserData/5/8/1/Info00000185/bigpic.jpg,Leanne.Wood@assembly.wales,,Leanne Wood,Plaid Cymru,South Wales Central,http://twitter.com/leannewood,South Wales Central,,ocd-division/country:gb-wls/region:south_wales_central,4,Leanne Wood,female,1971-12-13,,,,,,,,/m/02phppl,,Leanne Wood,,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,,Leanne Wood,,,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,,,,,,Leanne Wood,,,린 우드,,,,Leanne Wood,,Leanne Wood,Leanne Wood,,,,,,,,Leanne Wood,,,Leanne Wood,린 우드,,,,Leanne Wood,,,,,,Leanne Wood,Leanne Wood,Lian Vud,莉安·伍德,Lian Vud,Leanne Wood,Leanne Wood,莉安·伍德,
Deputy Presiding Officer,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=169,169,Deputy Presiding Officer,http://senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,,David Melding,Welsh Conservative Party,South Wales Central,http://twitter.com/DavidMeldingAM,South Wales Central,,ocd-division/country:gb-wls/region:south_wales_central,4,David Melding,male,1962-08-28,David,41551991,,,,,,,,David Melding,,David Melding,David Melding,,,David Melding,David Melding,David Melding,David Melding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=143,143,,http://senedd.assembly.wales/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,,Andrew RT Davies,Welsh Conservative Party,South Wales Central,http://twitter.com/AndrewRTDavies,South Wales Central,,ocd-division/country:gb-wls/region:south_wales_central,4,Andrew R. T. Davies,male,1968-01-01,Andrew,,Davies,,,,,,,Andrew R. T. Davies,,Andrew R. T. Davies,,Andrew R. T. Davies,,,,Andrew R. T. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=241,241,,http://senedd.assembly.wales/UserData/1/4/2/Info00000241/bigpic.jpg,Jenny.Rathbone@assembly.wales,Cardiff Central,Jenny Rathbone,Welsh Labour,Cardiff Central,http://twitter.com/JennyRathbone,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:cardiff_central,4,Jenny Rathbone,female,,Jenny,,,,,,,,,Jenny Rathbone,,,,,,Jenny Rathbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=245,245,,http://senedd.assembly.wales/UserData/5/4/2/Info00000245/bigpic.jpg,Julie.Morgan@assembly.wales,Cardiff North,Julie Morgan,Welsh Labour,Cardiff North,http://twitter.com/JulieMorganLAB,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:cardiff_north,4,Julie Morgan,female,1944-11-02,Julie,,,,,,,,,Julie Morgan,,Julie Morgan,Julie Morgan,Julie Morgan,Julie Morgan,Julie Morgan,,Julie Morgan,,جولی مورگان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deputy Minister for Health,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=249,249,The Deputy Minister for Health,http://senedd.assembly.wales/UserData/9/4/2/Info00000249/bigpic.jpg,Vaughan.Gething@assembly.wales,Cardiff South and Penarth,Vaughan Gething,Welsh Labour,Cardiff South and Penarth,http://twitter.com/vaughangething/,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:cardiff_south_and_penarth,4,Vaughan Gething,male,1974-01-01,,,,,,,,,,Vaughan Gething,,Vaughan Gething,Vaughan Gething,Vaughan Gething,Vaughan Gething,Vaughan Gething,,Vaughan Gething,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaughan Gething,,,,,,,,
The Minister for Health and Social Services,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=253,253,The Minister for Health and Social Services,http://senedd.assembly.wales/UserData/3/5/2/Info00000253/bigpic.jpg,Mark.Drakeford@assembly.wales,Cardiff West,Mark Drakeford,Welsh Labour,Cardiff West,http://twitter.com/MarkDrakeford,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:cardiff_west,4,Mark Drakeford,male,1954-09-19,Mark,71727654,,,,,,,,Mark Drakeford,,,Mark Drakeford,Mark Drakeford,,Mark Drakeford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=138,138,,http://senedd.assembly.wales/UserData/8/3/1/Info00000138/bigpic.jpg,Christine.Chapman@assembly.wales,Cynon Valley,Christine Chapman,Welsh Labour,Cynon Valley,http://twitter.com/ChrisChapmanAM,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:cynon_valley,4,Christine Chapman,female,1956-04-07,Christine,12100366,,,,,,,,Christine Chapman,,Christine Chapman,Christine Chapman,Christine Chapman,Christine Chapman,Christine Chapman,,Christine Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=321,321,,http://senedd.assembly.wales/UserData/1/2/3/Info00000321/bigpic.jpg,Mick.Antoniw@assembly.wales,Pontypridd,Mick Antoniw,Welsh Labour,Pontypridd,http://twitter.com/@mickantoniw1,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:pontypridd,4,Mick Antoniw,male,1954-01-01,Mick,,,,,,,,,Mick Antoniw,,,Mick Antoniw,Mick Antoniw,Mick Antoniw,Mick Antoniw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister for Public Services,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=582,582,The Minister for Public Services,http://senedd.assembly.wales/UserData/2/8/5/Info00000582/bigpic.jpg,Leighton.Andrews@assembly.wales,Rhondda,Leighton Andrews,Welsh Labour,Rhondda,http://twitter.com/leightonandrews,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:rhondda,4,Leighton Andrews,male,1957-08-11,Leighton,44222793,,,122624351,,,,,Leighton Andrews,,Leighton Andrews,Leighton Andrews,Leighton Andrews,,Leighton Andrews,,Leighton Andrews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister for Finance and Government Business,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=156,156,The Minister for Finance and Government Business,http://senedd.assembly.wales/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,Vale of Glamorgan,Jane Hutt,Welsh Labour,Vale of Glamorgan,http://twitter.com/JaneHutt,,,ocd-division/country:gb-wls/region:south_wales_central/constituency:vale_of_glamorgan,4,Jane Hutt,female,1949-12-15,Jane,,,,,,,,,Jane Hutt,,Jane Hutt,Jane Hutt,Jane Hutt,Jane Hutt,Jane Hutt,,Jane Hutt,,,,,,,,,,,Jane Hutt,Jane Hutt,Jane Hutt,Jane Hutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Liberal Democrats,http://senedd.assembly.wales/mgUserInfo.aspx?UID=480,480,,http://senedd.assembly.wales/UserData/0/8/4/Info00000480/bigpic.jpg,Eluned.Parrott@assembly.wales,,Eluned Parrott,Welsh Liberal Democrats,South Wales Central,http://twitter.com/ElunedParrottAM,South Wales Central,,ocd-division/country:gb-wls/region:south_wales_central,4,Eluned Parrott,female,1974-01-01,,,,,,,,,,Eluned Parrott,,,Eluned Parrott,,Eluned Parrott,Eluned Parrott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eluned Parrott,,,,,,,,
