name,wikiname,party,state,district,area,term,source,start_date,end_date,id
Sylvie Boucher,Sylvie Boucher,Conservative,Quebec,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sylvie-boucher
Alupa Clarke,Alupa Clarke,Conservative,Quebec,Beauport—Limoilou,Quebec (Beauport—Limoilou),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alupa-clarke
Louis Plamondon,Louis Plamondon,Bloc Québécois,Quebec,Bécancour—Nicolet—Saurel,Quebec (Bécancour—Nicolet—Saurel),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,louis-plamondon
Steven Blaney,Steven Blaney,Conservative,Quebec,Bellechasse—Les Etchemins—Lévis,Quebec (Bellechasse—Les Etchemins—Lévis),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,steven-blaney
Matthew Dubé,Matthew Dubé,NDP,Quebec,Beloeil—Chambly,Quebec (Beloeil—Chambly),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,matthew-dubé
Ruth Ellen Brosseau,Ruth Ellen Brosseau,NDP,Quebec,Berthier—Maskinongé,Quebec (Berthier—Maskinongé),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ruth-ellen-brosseau
Emmanuel Dubourg,Emmanuel Dubourg,Liberal,Quebec,Bourassa,Quebec (Bourassa),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,emmanuel-dubourg
Denis Paradis,Denis Paradis,Liberal,Quebec,Brome—Missisquoi,Quebec (Brome—Missisquoi),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,denis-paradis
Alexandra Mendès,Alexandra Mendès,Liberal,Quebec,Brossard—Saint-Lambert,Quebec (Brossard—Saint-Lambert),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alexandra-mendès
Pierre Paul-Hus,Pierre Paul-Hus,Conservative,Quebec,Charlesbourg—Haute-Saint-Charles,Quebec (Charlesbourg—Haute-Saint-Charles),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pierre-paul-hus
Brenda Shanahan,Brenda Shanahan (politician),Liberal,Quebec,Châteauguay—Lacolle,Quebec (Châteauguay—Lacolle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,brenda-shanahan
Denis Lemieux,Denis Lemieux,Liberal,Quebec,Chicoutimi—Le Fjord,Quebec (Chicoutimi—Le Fjord),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,denis-lemieux
Marie-Claude Bibeau,Marie-Claude Bibeau,Liberal,Quebec,Compton—Stanstead,Quebec (Compton—Stanstead),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marie-claude-bibeau
Anju Dhillon,Anju Dhillon,Liberal,Quebec,Dorval—Lachine—LaSalle,Quebec (Dorval—Lachine—LaSalle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,anju-dhillon
François Choquette,François Choquette,NDP,Quebec,Drummond,Quebec (Drummond),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,françois-choquette
Diane Lebouthillier,Diane Lebouthillier,Liberal,Quebec,Gaspésie—Les Îles-de-la-Madeleine,Quebec (Gaspésie—Les Îles-de-la-Madeleine),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,diane-lebouthillier
Steve MacKinnon,Steve MacKinnon,Liberal,Quebec,Gatineau,Quebec (Gatineau),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,steve-mackinnon
Marjolaine Boutin-Sweet,Marjolaine Boutin-Sweet,NDP,Quebec,Hochelaga,Quebec (Hochelaga),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marjolaine-boutin-sweet
Pablo Rodríguez,Pablo Rodríguez (Canadian politician),Liberal,Quebec,Honoré-Mercier,Quebec (Honoré-Mercier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pablo-rodríguez
Greg Fergus,Greg Fergus,Liberal,Quebec,Hull—Aylmer,Quebec (Hull—Aylmer),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,greg-fergus
Gabriel Ste-Marie,Gabriel Ste-Marie,Bloc Québécois,Quebec,Joliette,Quebec (Joliette),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gabriel-ste-marie
Karine Trudel,Karine Trudel,NDP,Quebec,Jonquière,Quebec (Jonquière),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,karine-trudel
Mario Beaulieu,Mario Beaulieu (politician),Bloc Québécois,Quebec,La Pointe-de-l'Île,Quebec (La Pointe-de-l'Île),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mario-beaulieu
Jean-Claude Poissant,Jean-Claude Poissant,Liberal,Quebec,La Prairie,Quebec (La Prairie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jean-claude-poissant
Denis Lebel,Denis Lebel,Conservative,Quebec,Lac-Saint-Jean,Quebec (Lac-Saint-Jean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,denis-lebel
Francis Scarpaleggia,Francis Scarpaleggia,Liberal,Quebec,Lac-Saint-Louis,Quebec (Lac-Saint-Louis),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,francis-scarpaleggia
David Lametti,David Lametti,Liberal,Quebec,LaSalle—Émard—Verdun,Quebec (LaSalle—Émard—Verdun),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-lametti
David Graham,David Graham (politician),Liberal,Quebec,Laurentides—Labelle,Quebec (Laurentides—Labelle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-graham
Hélène Laverdière,Hélène Laverdière,NDP,Quebec,Laurier—Sainte-Marie,Quebec (Laurier—Sainte-Marie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,hélène-laverdière
Fayçal El-Khoury,Fayçal El-Khoury,Liberal,Quebec,Laval—Les Îles,Quebec (Laval—Les Îles),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,fayçal-el-khoury
Jacques Gourde,Jacques Gourde,Conservative,Quebec,Lévis—Lotbinière,Quebec (Lévis—Lotbinière),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jacques-gourde
Sherry Romanado,Sherry Romanado,Liberal,Quebec,Longueuil—Charles-LeMoyne,Quebec (Longueuil—Charles-LeMoyne),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sherry-romanado
Pierre Nantel,Pierre Nantel,NDP,Quebec,Longueuil—Saint-Hubert,Quebec (Longueuil—Saint-Hubert),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pierre-nantel
Joël Lightbound,Joël Lightbound,Liberal,Quebec,Louis-Hébert,Quebec (Louis-Hébert),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,joël-lightbound
Gérard Deltell,Gérard Deltell,Conservative,Quebec,Louis-Saint-Laurent,Quebec (Louis-Saint-Laurent),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gérard-deltell
Marilène Gill,Marilène Gill,Bloc Québécois,Quebec,Manicouagan,Quebec (Manicouagan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marilène-gill
Yves Robillard,Yves Robillard,Liberal,Quebec,Marc-Aurèle-Fortin,Quebec (Marc-Aurèle-Fortin),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,yves-robillard
Luc Berthold,Luc Berthold,Conservative,Quebec,Mégantic—L'Érable,Quebec (Mégantic—L'Érable),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,luc-berthold
Simon Marcil,Simon Marcil,Bloc Québécois,Quebec,Mirabel,Quebec (Mirabel),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,simon-marcil
Michel Picard,Michel Picard (politician),Liberal,Quebec,Montarville,Quebec (Montarville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michel-picard
Luc Thériault,Luc Thériault,Bloc Québécois,Quebec,Montcalm,Quebec (Montcalm),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,luc-thériault
Bernard Généreux,Bernard Généreux,Conservative,Quebec,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bernard-généreux
Anthony Housefather,Anthony Housefather,Liberal,Quebec,Mount Royal,Quebec (Mount Royal),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,anthony-housefather
Marc Garneau,Marc Garneau,Liberal,Quebec,Notre-Dame-de-Grâce—Westmount,Quebec (Notre-Dame-de-Grâce—Westmount),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marc-garneau
Thomas Mulcair,Thomas Mulcair,NDP,Quebec,Outremont,Quebec (Outremont),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,thomas-mulcair
Justin Trudeau,Justin Trudeau,Liberal,Quebec,Papineau,Quebec (Papineau),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,justin-trudeau
Xavier Barsalou-Duval,Xavier Barsalou-Duval,Bloc Québécois,Quebec,Pierre-Boucher—Les Patriotes—Verchères,Quebec (Pierre-Boucher—Les Patriotes—Verchères),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,xavier-barsalou-duval
Frank Baylis,Frank Baylis,Liberal,Quebec,Pierrefonds—Dollard,Quebec (Pierrefonds—Dollard),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,frank-baylis
Will Amos,Will Amos,Liberal,Quebec,Pontiac,Quebec (Pontiac),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,will-amos
Joël Godin,Joël Godin,Conservative,Quebec,Portneuf—Jacques-Cartier,Quebec (Portneuf—Jacques-Cartier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,joël-godin
Jean-Yves Duclos,Jean-Yves Duclos,Liberal,Quebec,Québec,Quebec (Québec),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jean-yves-duclos
Monique Pauzé,Monique Pauzé,Bloc Québécois,Quebec,Repentigny,Quebec (Repentigny),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,monique-pauzé
Alain Rayes,Alain Rayes,Conservative,Quebec,Richmond—Arthabaska,Quebec (Richmond—Arthabaska),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alain-rayes
Guy Caron,Guy Caron,NDP,Quebec,Rimouski-Neigette—Témiscouata—Les Basques,Quebec (Rimouski-Neigette—Témiscouata—Les Basques),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,guy-caron
Linda Lapointe,Linda Lapointe,Liberal,Quebec,Rivière-des-Mille-Îles,Quebec (Rivière-des-Mille-Îles),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,linda-lapointe
Rhéal Fortin,Rhéal Fortin,Bloc Québécois,Quebec,Rivière-du-Nord,Quebec (Rivière-du-Nord),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rhéal-fortin
Alexandre Boulerice,Alexandre Boulerice,NDP,Quebec,Rosemont—La Petite-Patrie,Quebec (Rosemont—La Petite-Patrie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alexandre-boulerice
Brigitte Sansoucy,Brigitte Sansoucy,NDP,Quebec,Saint-Hyacinthe—Bagot,Quebec (Saint-Hyacinthe—Bagot),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,brigitte-sansoucy
Jean Rioux,Jean Rioux,Liberal,Quebec,Saint-Jean,Quebec (Saint-Jean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jean-rioux
Stéphane Dion,Stéphane Dion,Liberal,Quebec,Saint-Laurent,Quebec (Saint-Laurent),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,stéphane-dion
Nicola Di Iorio,Nicola Di Iorio,Liberal,Quebec,Saint-Léonard—Saint-Michel,Quebec (Saint-Léonard—Saint-Michel),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,nicola-di-iorio
François-Philippe Champagne,François-Philippe Champagne,Liberal,Quebec,Saint-Maurice—Champlain,Quebec (Saint-Maurice—Champlain),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,françois-philippe-champagne
Anne Minh-Thu Quach,Anne Minh-Thu Quach,NDP,Quebec,Salaberry—Suroît,Quebec (Salaberry—Suroît),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,anne-minh-thu-quach
Pierre Breton,Pierre Breton,Liberal,Quebec,Shefford,Quebec (Shefford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pierre-breton
Pierre-Luc Dusseault,Pierre-Luc Dusseault,NDP,Quebec,Sherbrooke,Quebec (Sherbrooke),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pierre-luc-dusseault
Michel Boudrias,Michel Boudrias,Bloc Québécois,Quebec,Terrebonne,Quebec (Terrebonne),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michel-boudrias
Ramez Ayoub,Ramez Ayoub,Liberal,Quebec,Thérèse-De Blainville,Quebec (Thérèse-De Blainville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ramez-ayoub
Robert Aubin,Robert Aubin,NDP,Quebec,Trois-Rivières,Quebec (Trois-Rivières),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,robert-aubin
Peter Schiefke,Peter Schiefke,Liberal,Quebec,Vaudreuil—Soulanges,Quebec (Vaudreuil—Soulanges),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-schiefke
Marc Miller,Marc Miller (politician),Liberal,Quebec,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Quebec (Ville-Marie—Le Sud-Ouest—Île-des-Sœurs),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marc-miller
Eva Nassif,Eva Nassif,Liberal,Quebec,Vimy,Quebec (Vimy),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,eva-nassif
Gerry Ritz,Gerry Ritz,Conservative,Saskatchewan,Battlefords—Lloydminster,Saskatchewan (Battlefords—Lloydminster),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gerry-ritz
Kelly Block,Kelly Block,Conservative,Saskatchewan,Carlton Trail—Eagle Creek,Saskatchewan (Carlton Trail—Eagle Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kelly-block
David L. Anderson,David L. Anderson,Conservative,Saskatchewan,Cypress Hills—Grasslands,Saskatchewan (Cypress Hills—Grasslands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-l.-anderson
Georgina Jolibois,Georgina Jolibois,NDP,Saskatchewan,Desnethé—Missinippi—Churchill River,Saskatchewan (Desnethé—Missinippi—Churchill River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,georgina-jolibois
Tom Lukiwski,Tom Lukiwski,Conservative,Saskatchewan,Moose Jaw—Lake Centre—Lanigan,Saskatchewan (Moose Jaw—Lake Centre—Lanigan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,tom-lukiwski
Randy Hoback,Randy Hoback,Conservative,Saskatchewan,Prince Albert,Saskatchewan (Prince Albert),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,randy-hoback
Erin Weir,Erin Weir,NDP,Saskatchewan,Regina—Lewvan,Saskatchewan (Regina—Lewvan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,erin-weir
Andrew Scheer,Andrew Scheer,Conservative,Saskatchewan,Regina—Qu'Appelle,Saskatchewan (Regina—Qu'Appelle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,andrew-scheer
Ralph Goodale,Ralph Goodale,Liberal,Saskatchewan,Regina—Wascana,Saskatchewan (Regina—Wascana),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ralph-goodale
Kevin Waugh,Kevin Waugh,Conservative,Saskatchewan,Saskatoon—Grasswood,Saskatchewan (Saskatoon—Grasswood),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kevin-waugh
Brad Trost,Brad Trost,Conservative,Saskatchewan,Saskatoon—University,Saskatchewan (Saskatoon—University),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,brad-trost
Sheri Benson,Sheri Benson,NDP,Saskatchewan,Saskatoon West,Saskatchewan (Saskatoon West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sheri-benson
Robert Kitchen,Robert Kitchen,Conservative,Saskatchewan,Souris—Moose Mountain,Saskatchewan (Souris—Moose Mountain),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,robert-kitchen
Cathay Wagantall,Cathay Wagantall,Conservative,Saskatchewan,Yorkton—Melville,Saskatchewan (Yorkton—Melville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,cathay-wagantall
Michael McLeod,Michael McLeod,Liberal,The North,Northwest Territories,The North (Northwest Territories),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michael-mcleod
Hunter Tootoo,Hunter Tootoo,Liberal,The North,Nunavut,The North (Nunavut),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,hunter-tootoo
Larry Bagnell,Larry Bagnell,Liberal,The North,Yukon,The North (Yukon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,larry-bagnell
Lee Richardson,Lee Richardson (politician),Conservative,Alberta,Calgary Centre,Alberta (Calgary Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2012-05-30,,lee-richardson
Joan Crockatt,Joan Crockatt,Conservative,Alberta,Calgary Centre,Alberta (Calgary Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2012-11-26,joan-crockatt
Michelle Rempel,Michelle Rempel,Conservative,Alberta,Calgary Centre-North,Alberta (Calgary Centre-North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,michelle-rempel
Deepak Obhrai,Deepak Obhrai,Conservative,Alberta,Calgary East,Alberta (Calgary East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,deepak-obhrai
Devinder Shory,Devinder Shory,Conservative,Alberta,Calgary Northeast,Alberta (Calgary Northeast),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,devinder-shory
Diane Ablonczy,Diane Ablonczy,Conservative,Alberta,Calgary—Nose Hill,Alberta (Calgary—Nose Hill),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,diane-ablonczy
Jason Kenney,Jason Kenney,Conservative,Alberta,Calgary Southeast,Alberta (Calgary Southeast),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jason-kenney
Stephen Harper,Stephen Harper,Conservative,Alberta,Calgary Southwest,Alberta (Calgary Southwest),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,stephen-harper
Rob Anders,Rob Anders,Conservative,Alberta,Calgary West,Alberta (Calgary West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rob-anders
Kevin Sorenson,Kevin Sorenson,Conservative,Alberta,Crowfoot,Alberta (Crowfoot),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kevin-sorenson
Laurie Hawn,Laurie Hawn,Conservative,Alberta,Edmonton Centre,Alberta (Edmonton Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,laurie-hawn
Peter Goldring,Peter Goldring,Conservative,Alberta,Edmonton East,Alberta (Edmonton East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-goldring
James Rajotte,James Rajotte,Conservative,Alberta,Edmonton—Leduc,Alberta (Edmonton—Leduc),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,james-rajotte
Mike Lake,Mike Lake (politician),Conservative,Alberta,Edmonton—Mill Woods—Beaumont,Alberta (Edmonton—Mill Woods—Beaumont),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mike-lake
Linda Duncan,Linda Duncan,NDP,Alberta,Edmonton—Strathcona,Alberta (Edmonton—Strathcona),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,linda-duncan
Brent Rathgeber,Brent Rathgeber,Conservative,Alberta,Edmonton—St. Albert,Alberta (Edmonton—St. Albert),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,brent-rathgeber
Tim Uppal,Tim Uppal,Conservative,Alberta,Edmonton—Sherwood Park,Alberta (Edmonton—Sherwood Park),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tim-uppal
Rona Ambrose,Rona Ambrose,Conservative,Alberta,Edmonton—Spruce Grove,Alberta (Edmonton—Spruce Grove),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rona-ambrose
Brian Jean,Brian Jean,Conservative,Alberta,Fort McMurray—Athabasca,Alberta (Fort McMurray—Athabasca),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-01-17,,brian-jean
David Yurdiga,David Yurdiga,Conservative,Alberta,Fort McMurray—Athabasca,Alberta (Fort McMurray—Athabasca),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-06-30,david-yurdiga
Jim Hillyer,Jim Hillyer (politician),Conservative,Alberta,Lethbridge,Alberta (Lethbridge),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jim-hillyer
Ted Menzies,Ted Menzies,Conservative,Alberta,Macleod,Alberta (Macleod),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-11-06,,ted-menzies
John Barlow,John Barlow (Canadian politician),Conservative,Alberta,Macleod,Alberta (Macleod),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-06-30,john-barlow
LaVar Payne,LaVar Payne,Conservative,Alberta,Medicine Hat,Alberta (Medicine Hat),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lavar-payne
Chris Warkentin,Chris Warkentin,Conservative,Alberta,Peace River,Alberta (Peace River),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,chris-warkentin
Earl Dreeshen,Earl Dreeshen,Conservative,Alberta,Red Deer,Alberta (Red Deer),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,earl-dreeshen
Leon Benoit,Leon Benoit,Conservative,Alberta,Vegreville—Wainwright,Alberta (Vegreville—Wainwright),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,leon-benoit
Brian Storseth,Brian Storseth,Conservative,Alberta,Westlock—St. Paul,Alberta (Westlock—St. Paul),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,brian-storseth
Blaine Calkins,Blaine Calkins,Conservative,Alberta,Wetaskiwin,Alberta (Wetaskiwin),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,blaine-calkins
Blake Richards,Blake Richards,Conservative,Alberta,Wild Rose,Alberta (Wild Rose),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,blake-richards
Rob Merrifield,Rob Merrifield,Conservative,Alberta,Yellowhead,Alberta (Yellowhead),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-09-17,,rob-merrifield
Jim Eglinski,Jim Eglinski,Conservative,Alberta,Yellowhead,Alberta (Yellowhead),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-11-17,jim-eglinski
Ed Fast,Ed Fast,Conservative,British Columbia,Abbotsford,British Columbia (Abbotsford),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ed-fast
Alex Atamanenko,Alex Atamanenko,NDP,British Columbia,British Columbia Southern Interior,British Columbia (British Columbia Southern Interior),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,alex-atamanenko
Kennedy Stewart,Kennedy Stewart (Canadian politician),NDP,British Columbia,Burnaby—Douglas,British Columbia (Burnaby—Douglas),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kennedy-stewart
Peter Julian,Peter Julian,NDP,British Columbia,Burnaby—New Westminster,British Columbia (Burnaby—New Westminster),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-julian
