name,wikiname,area,area_wikiname,group,party_wikiname,term,id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__wa,name__eu,name__ko,name__fr,name__es,name__ta,name__oc,name__it,name__gl,name__et,name__de,name__id,name__ja,name__vi,name__el,name__ar,name__sv,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ro,name__ca,name__fi,name__uk,name__la,name__nn,name__cs,name__io,name__fa,name__ka,name__tl,name__da,name__sr,name__zh,name__nb,name__he,wikipedia__ar,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sr,wikipedia__sv,wikipedia__svwikiquote,wikipedia__ta,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__wa,wikipedia__zh,image,gender,identifier__viaf,identifier__lcauth,identifier__sudoc,birth_date,identifier__freebase,given_name
Seth Wood,"",Gracias a Dios,Gracias a Dios (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elden Vásquez,"",Intibucá,Intibucá,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Vásquez,"",Intibucá,Intibucá,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Vargas,"",Intibucá,Intibucá,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Hynds,"",Islas de la Bahía,Islas de la Bahía,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladis López,"",La Paz,La Paz (departamento de Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Benítez,"",La Paz,La Paz (departamento de Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Fiallos,"",La Paz,La Paz (departamento de Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Reyes,"",Lempira,Lempira (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Valenzuela,"",Lempira,Lempira (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador Pineda,"",Lempira,Lempira (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yester Múñoz,"",Lempira,Lempira (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nery Reyes,"",Lempira,Lempira (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Román Villeda,"",Ocotepeque,Ocotepeque,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Hernández,"",Ocotepeque,Ocotepeque,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Zelaya,Manuel Zelaya,Olancho,Olancho,Libre,Partido Libertad y Refundación,8,Q191060,曼努埃尔·塞拉亚,曼努埃爾·塞拉亞,曼努埃爾·塞拉亞,曼努埃尔·塞拉亚,曼努埃尔·塞拉亚,曼努埃爾·賽拉亞,Manuel Zelaya,Manuel Zelaya Rosales,Manuel Zelaya,마누엘 셀라야,Manuel Zelaya,Manuel Zelaya,மனுவேல் செலாயா,Manuel Zelaya,Manuel Zelaya Rosales,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,マヌエル・セラヤ,Manuel Zelaya,Μανουέλ Σελάγια,مانويل زيلايا,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,"Селайя, Мануэль",Manuel Zelaya,Manuel Zelaja,Мануел Зелаја,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Мануель Селайя,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,مانوئل زلایا,მანუელ სელაია,Manuel Zelaya,Manuel Zelaya,Мануел Зелаја,曼努埃尔·塞拉亚,Manuel Zelaya,מנואל סלאיה,مانويل زيلايا,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Μανουέλ Σελάγια,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,مانوئل زلایا,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,מנואל סלאיה,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya Rosales,マヌエル・セラヤ,მანუელ სელაია,마누엘 셀라야,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,Manuel Zelaya,"Селайя, Мануэль",Мануел Зелаја,Manuel Zelaya,Manuel Zelaya,மனுவேல் செலாயா,Manuel Zelaya,Manuel Zelaya,Мануель Селайя,Manuel Zelaya,Manuel Zelaya Rosales,曼努埃尔·塞拉亚,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Manuel_Zelaya_(Brasília,_03_April_2006).jpeg",male,106920048,no2010013927,160188938,1951-09-20,/m/0739dz,Manuel
Miguel Navarro,"",Olancho,Olancho,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Ayala,"",Olancho,Olancho,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinaldo Sánchez,Reinaldo Sánchez Rivera,Olancho,Olancho,Nacional,Partido Nacional de Honduras,8,Q16624771,,,,,,,,,,,,Reinaldo Sánchez Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinaldo Sánchez Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,1979-06-05,,
Teresa Cálix,"",Olancho,Olancho,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Rivera,"",Olancho,Olancho,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy Najera,"",Olancho,Olancho,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgardo Casana,"",Santa Bárbara,Santa Bárbara (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandra Mancia,"",Santa Bárbara,Santa Bárbara (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennys Sánchez,"",Santa Bárbara,Santa Bárbara (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Interiano,"",Santa Bárbara,Santa Bárbara (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando Dubón,"",Santa Bárbara,Santa Bárbara (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Pérez,"",Santa Bárbara,Santa Bárbara (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Figueroa,"",Santa Bárbara,Santa Bárbara (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
César Handal,"",Santa Bárbara,Santa Bárbara (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Víctor Sabillón,"",Santa Bárbara,Santa Bárbara (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Zambrano,"",Valle,Valle (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Velásquez,"",Valle,Valle (Honduras),Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Saavedra,"",Valle,Valle (Honduras),Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleazar Juárez,"",Valle,Valle (Honduras),Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miltón Puerto,"",Yoro,Yoro,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Urbina,"",Yoro,Yoro,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Flores,"",Yoro,Yoro,Nacional,Partido Nacional de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma Reyes,"",Yoro,Yoro,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Duran,"",Yoro,Yoro,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartolo Fuentes,"",Yoro,Yoro,Libre,Partido Libertad y Refundación,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Portillo,"",Yoro,Yoro,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritza Varela,"",Yoro,Yoro,Liberal,Partido Liberal de Honduras,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberato Madrid,"",Yoro,Yoro,PAC,Partido Anticorrupción,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
