id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Muzinger,identifier__journalisted,identifier__EuroparlMEP,family_name,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__NLA,identifier__NPG,identifier__MusicBrainz,identifier__SELIBR,identifier__NNDB,identifier__Oxforddnb,identifier__GTAA,honorific_prefix,identifier__hansard,wikipedia__en,identifier__Munzinger,identifier__discogs,identifier__parliamentDOTuk,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,name__ko,name__tr,name__el,name__tl,name__af,name__en_ca,name__en_gb,name__uk,name__fa,wikipedia__af,wikipedia__da,wikipedia__el,wikipedia__ko,wikipedia__no,wikipedia__tl,wikipedia__tr,wikipedia__uk,name__ro,wikipedia__ro,wikipedia__enwikiquote,wikipedia__commons,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gl,name__be,name__id,name__bn,name__ar,name__pt,name__eo,name__be_tarask,name__cs,name__bg,name__ckb,name__az,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__cs,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__nn,wikipedia__pt,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__ja,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ja,wikipedia__sco,wikipedia__sr,name__an,name__bs,name__ceb,name__et,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gd,name__yo,name__pnb,name__ku_arab,name__ku_latn,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__ur,wikipedia__yo,name__ta,wikipedia__ta,name__vmf,name__nan,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__zh_min_nan,name__de_ch,name__nrm,wikipedia__nrm,wikipedia__bgwikiquote
Q333991,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,male,,,,1937-12-24,/m/01c9n0,John,,,,1504,,,,,,,,,,,,,,,,mr-john-taylor,"John Taylor, Baron Kilclooney",,,,,,,"John Taylor, Baron Kilclooney",,"John Taylor, Baron Kilclooney",,,,,,,"John Taylor, Baron Kilclooney",,,"John Taylor, Baron Kilclooney",,,,,,,,,,,"John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John Taylor, Baron Kilclooney","John Taylor, Baron Kilclooney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q335547,Brian Faulkner,Brian Faulkner,,male,60320429,,n50000321,1921-02-18,/m/02668k,Brian,,,,,,1977-03-03,,,,,119738945,,,,,,101031096,,,,Brian Faulkner,,,,,,,Brian Faulkner,,Brian Faulkner,,,,,,,Brian Faulkner,,,Brian Faulkner,Brian Faulkner,,,Brian Faulkner,Brian Faulkner,Brian Faulkner,,,,,Brian Faulkner,Brian Faulkner,,,Brian Faulkner,,,,,,,,,,,,,,,,,,,,,,,,,,Brian Faulkner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q336064,Reg Empey,Reg Empey,"https://upload.wikimedia.org/wikipedia/commons/a/a9/John_White,_Reg_Empey,_Roy_Beggs_(cropped_Empey).JPG",male,,,,1947-10-26,/m/05nkkx,Reg,,,,,,,,,,,,,,,,,,,,,Reg Empey,,,,,,,Reg Empey,,Reg Empey,,,Reg Empey,,,,"Reg Empey, Baron Empey",,,Reg Empey,Reg Empey,,,Reg Empey,Reg Empey,,,,,,"Reg Empey, Baron Empey",Reg Empey,,Reg Empey,,,,,,,,,,,,Reg Empey,,,,,,,,,,,,Reg Empey,,,Reg Empey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q336390,"John Alderdice, Baron Alderdice","John Alderdice, Baron Alderdice",,male,,,,1955-03-28,,John,,,,,,,,,,,,,,,,,,,The Right Honourable,mr-john-alderdice,"John Alderdice, Baron Alderdice",,,lords/lord-alderdice/3478,,,,John Alderdice,,"John Alderdice, Baron Alderdice",,,,,,,John Alderdice,,,"John Alderdice, Baron Alderdice",,,,,,,,,,,John Alderdice,,,,,,,,,,,,,,,,,,,,,,"John Alderdice, Baron Alderdice","John Alderdice, Baron Alderdice",,,,,,,,,,,John Alderdice,John Alderdice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Alderdice,,,
Q337030,"John Laird, Baron Laird","John Laird, Baron Laird",https://upload.wikimedia.org/wikipedia/commons/6/62/Lord_Laird.jpg,male,305410710,,no2013112543,1944-04-23,,John,,,,,,,,,,,,,,,,,,,,mr-john-laird-1,"John Laird, Baron Laird",,,,,,,"John Laird, Baron Laird",,"John Laird, Baron Laird",,,,,,,"John Laird, Baron Laird",,,"John Laird, Baron Laird",,,,,,,,,,,"John Laird, Baron Laird",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John Laird, Baron Laird d'Artigarvan","John Laird, Baron Laird d'Artigarvan",
Q337970,Michelle Gildernew,Michelle Gildernew,https://upload.wikimedia.org/wikipedia/commons/5/5d/Michelle_Gildernew.jpg,female,,,,1970-03-28,,Michelle,,,,,,,,,,,,,,,,,,,,ms-michelle-gildernew,Michelle Gildernew,,,,,,,Michelle Gildernew,,Michelle Gildernew,,,,,Michaela Gildernew,,Michelle Gildernew,,,Michelle Gildernew,Michelle Gildernew,,,,,,,,,,,,,,,,,,,Michaela Gildernew,,,,,,Michelle Gildernew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q338273,David Burnside,David Burnside,https://upload.wikimedia.org/wikipedia/commons/d/d7/David_Burnside.JPG,male,,,,1951-08-24,,David,,,,,,,,,,,,,,,,,,,,,David Burnside,,,,,,,David Burnside,,David Burnside,,,,,,,David Burnside,,,David Burnside,David Burnside,,,David Burnside,David Burnside,David Burnside,,,,,,,,,,,,,,,,,,,,David Burnside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q392000,David Simpson,David Simpson,https://upload.wikimedia.org/wikipedia/commons/f/fa/David_Simpson.jpg,male,,,,1959-02-16,,David,,,,,,,,,,,,,,,,,,,,,David Simpson (British politician),,,,,,,David Simpson,,David Simpson,,,,,,,David Simpson,,,David Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q428996,Pat Sheehan,Pat Sheehan,,male,,,,1958-05-28,,Pat,,,,,,,,,,,,,,,,,,,,,Pat Sheehan (Irish republican),,,,,,,Pat Sheehan,,Pat Sheehan,,,,,,,Pat Sheehan,,,Pat Sheehan,,,,,,,,,,,Pat Sheehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q434460,Anna Lo,Anna Lo,https://upload.wikimedia.org/wikipedia/commons/e/e4/Anna_Lo_MLA.jpg,female,,,,1950-06-17,/m/02pxjrn,Anna,,,,,,,,,,,,,,,,,,,,,Anna Lo,,,,盧曼華,,,Anna Lo,,Anna Lo,,,,,,,Anna Lo,,,Anna Lo,Anna Lo,,,Anna Lo,,,,,,,Anna Lo,,,,,,,,,,,,,,,,盧曼華,,,,,,,,,,,,,,Anna Lo,,,,,,,,卢曼华,盧曼華,盧曼華,卢曼华,卢曼华,盧曼華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q450673,Bairbre de Brún,Bairbre de Brún,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bairbre_de_Brún_2008-10-19_Strasbourg.jpg,female,81386337,137155948,,1954-01-10,/m/035yns,,,,,28511,,,,,,,,,,,,,,,,,Bairbre de Brún,,,,,Bairbre de Brún,,Bairbre de Brún,,Bairbre de Brún,,,,,,,Bairbre de Brún,,,Bairbre de Brún,,,,,,,,,,,Bairbre de Brún,,,,Bairbre de Brún,,,,,,,Bairbre de Brún,Bairbre de Brún,,,,,,,,,,,,,,,,,,,,,,Bairbre de Brún,Bairbre de Brún,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q478702,Jim Shannon,Jim Shannon,https://upload.wikimedia.org/wikipedia/commons/b/b7/JimShannon.jpg,male,,,,1955-03-25,,Jim,,,,,,,,,,,,,,,,,,,,,Jim Shannon,,,commons/jim-shannon/4131,,,,Jim Shannon,,,,,,,,,Jim Shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q501860,Margaret Ritchie,Margaret Ritchie,https://upload.wikimedia.org/wikipedia/commons/3/3c/Margaret_ritchie.jpg,female,,,,1958-03-25,,Margaret,,,,,,,,,,,,,,,,,,,,,Margaret Ritchie (politician),,,,,,,Margaret Ritchie,,Margaret Ritchie,,,,,,,Margaret Ritchie,,Margaret Ritchie,,,,,,,,,,,,,,,,,Margaret Ritchie,,,,,,,,,,,,,,,,,,,,مارگارت ریچی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q529315,Oliver Napier,Oliver Napier,,male,,,,1935-07-11,,Oliver,,,,,,2011-07-02,,,,,,,,,,,101103960,,,,Oliver Napier,,,,,,,Oliver Napier,,Oliver Napier,,,,,,,Oliver Napier,,Oliver Napier,Oliver Napier,Oliver Napier,,,,,,,,,,Oliver Napier,,,,,Oliver Napier,,,,,,,,,,Oliver Napier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q575881,"Ian Paisley, Jr.","Ian Paisley, Jr.","https://upload.wikimedia.org/wikipedia/commons/3/3e/Ian_Paisley,_Jr..jpg",male,,,,1966-12-12,,Ian,,,,,,,,,,,,,,,,,,,,,"Ian Paisley, Jr.",,,,,Ian Paisley,Ian Paisley,Ian Paisley,,"Ian Paisley, Jr.",Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ioannes Paisley iunior,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,"Ian Paisley, Jr.",Ian Paisley,,,Ian Paisley,Ian Paisley,Ian Paisley,,,,,,,,,,,,,,Ioannes Paisley iunior,,,,,,,,,Ian Paisley,,,Ian Paisley,,,,,,,,,,,,,Ian Paisley,,,,,,,,,,Ian Paisley,,,,,Ian Paisley,Ian Paisley,,Ian Paisley,,,,,,,,,,,,,,,,,,,,,Ian Paisley,,,,,,,,,,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q578710,Conor Murphy,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,,,,,,Conor Murphy,,Conor Murphy,,,Conor Murphy,,,,Conor Murphy,,,Conor Murphy,,,,,,,,,,,,,,Conor Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q583571,Alasdair McDonnell,Alasdair McDonnell,https://upload.wikimedia.org/wikipedia/commons/d/d5/Alasdair_McDonnell.jpg,male,,,,1949-09-01,,Alasdair,,,,,,,,,,,,,,,,,,,,mr-alasdair-mcdonnell,Alasdair McDonnell,,,commons/dr-alasdair-mcdonnell/1596,,,,Alasdair McDonnell,,Alasdair McDonnell,,,,,,,Alasdair McDonnell,,,Alasdair McDonnell,,,,,,,,,,,,Alasdair McDonnell,,,Alasdair McDonnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q694775,William McCrea,William McCrea,,male,,,,1948-08-06,,William,,,,,,,,,,,,,,,,,,,,,William McCrea (politician),,,,,,,William McCrea,,William McCrea,,,,,,,William McCrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q694929,Paul Maskey,Paul Maskey,https://upload.wikimedia.org/wikipedia/commons/0/0b/Paul_Maskey.jpg,male,,,,1967-06-10,,Paul,,,,,,,,,,,,,,,,,,,,,Paul Maskey,,,commons/paul-maskey/4245,,,,Paul Maskey,,Paul Maskey,,,,,,,Paul Maskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q695272,Naomi Long,Naomi Long,"https://upload.wikimedia.org/wikipedia/commons/b/b6/Belfast_City_Marathon,_May_2010_(08).JPG",female,,,,1971-12-13,,Naomi,,,,,,,,,,,,,,,,,,,,,Naomi Long,,,,,,,Naomi Long,,Naomi Long,,,,Naomi Long,,,Naomi Long,,,Naomi Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q719087,Ivan Cooper,Ivan Cooper,,male,,,,1944-01-01,/m/07jxv7,Ivan,,,,,,,,,,,,,,,,,,,,,Ivan Cooper,,,,,Ivan Cooper,,Ivan Cooper,,Ivan Cooper,,,,Ivan Cooper,,,Ivan Cooper,,,Ivan Cooper,,,,,,,,,,,Ivan Cooper,,,,Ivan Cooper,,,,Ivan Cooper,,,,Ivan Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アイヴァン・クーパー,,,,アイヴァン・クーパー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1116655,Alex Maskey,Alex Maskey,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male,41788422,,,1952-01-08,,Alex,,,,,,,,,,,,,,,,,,,,,Alex Maskey,,,,,,,Alex Maskey,"Мэски, Алекс",Alex Maskey,,,,,,,Alex Maskey,,,Alex Maskey,,,,,,,,,,,Alex Maskey,,,,,,,,,,,,,"Мэски, Алекс",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1164704,Danny Morrison,Danny Morrison,https://upload.wikimedia.org/wikipedia/commons/2/23/Danny_Morrison_2012.jpg,male,93104482,121013367,n85824205,1953-01-09,,Daniel,,,,,,,0000 0000 6684 9374,,087592711,,,,,,,,,,,,Danny Morrison (author),,,,,,,Daniel Gerard Morrison,,Danny Morrison,,,,Danny Morrison,,,Danny Morrison,,,Danny Morrison,,,,,,,,,,,Danny Morrison,,,,Daniel Gerard Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1303976,"Eileen Paisley, Baroness Paisley of St George's","Eileen Paisley, Baroness Paisley of St George's",https://upload.wikimedia.org/wikipedia/commons/7/71/EileenPaisley.jpg,female,,,,1931-11-02,,Eileen,,,,,,,,,,,,,,,,,,,,,"Eileen Paisley, Baroness Paisley of St George's",,,lords/baroness-paisley-of-st-george&#39;s/3807,,,,Eileen Paisley,,"Eileen Paisley, Baroness Paisley of St George's",,,,,,,Eileen Paisley,,,Eileen Paisley,,,,,,,,,,,Eileen Paisley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1608608,Herbert Kirk,Herbert Kirk,,male,,,,1912-06-05,,Herbert,,,,,,2006-03-04,,,,,,,,,,,,,,,Herbert Kirk,,,,,,,Herbert Kirk,,Herbert Kirk,,,,,,,Herbert Kirk,,,Herbert Kirk,Herbert Kirk,,,Herbert Kirk,Herbert Kirk,Herbert Kirk,,,,,Herbert Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1680843,"James Molyneaux, Baron Molyneaux of Killead","James Molyneaux, Baron Molyneaux of Killead",,male,294019797,,n91029340,1920-08-27,,James,,,,,,2015-03-09,,,,,,,,,,,,,,mr-james-molyneaux,"James Molyneaux, Baron Molyneaux of Killead",,,,,James Molyneaux,,"James Molyneaux, Baron Molyneaux of Killead",,"James Molyneaux, Baron Molyneaux of Killead",,,,,,,"James Molyneaux, Baron Molyneaux of Killead",,,"James Molyneaux, Baron Molyneaux of Killead",,,,,,,,,,,"James Molyneaux, Baron Molyneaux of Killead",,,,,,,,,,,,James Molyneaux,,"James Molyneaux, Baron Molyneaux of Killead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1738633,Ken Maginnis,Ken Maginnis,,male,65993254,,nb2006014319,1938-01-21,,Ken,,,,,,,,,,,,,,,,,,,,mr-ken-maginnis,Ken Maginnis,,,lords/lord-maginnis-of-drumglass/648,,,,Ken Maginnis,,Ken Maginnis,,,,,,,"Ken Maginnis, Baron Maginnis of Drumglass",,,Ken Maginnis,,,,,,,,,,,"Ken Maginnis, Baron Maginnis of Drumglass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1911383,"Maurice Morrow, Baron Morrow","Maurice Morrow, Baron Morrow",,male,,,,1948-09-27,,Maurice,,,,,,,,,,,,,,,,,,,,,"Maurice Morrow, Baron Morrow",,,,,,,,"Морис Морроу, барон Морроу","Maurice Morrow, Baron Morrow",,,,,,,"Maurice Morrow, Baron Morrow",,,"Maurice Morrow, Baron Morrow",,,,,,,,,,,"Maurice Morrow, Baron Morrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2042604,Owen Carron,Owen Carron,,male,,,,1953-02-09,,Owen,,,,,,,,,,,,,,,,,,,,mr-owen-carron,Owen Carron,,,,,,,Owen Carron,"Кэррон, Оуэн",Owen Carron,,,,,,,Owen Carron,,,Owen Carron,,,,,,,,,,,Owen Carron,,,,,,,,,,,,,"Кэррон, Оуэн",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2134210,Raymond McCartney,Raymond McCartney,https://upload.wikimedia.org/wikipedia/commons/e/e5/RaymondMcCartney.jpg,male,,,,1954-11-29,,Raymond,,,,,,,,,,,,,,,,,,,,,Raymond McCartney,,,,,,,Raymond McCartney,,Raymond McCartney,,,,,,,Raymond McCartney,,,Raymond McCartney,,,,,,,,,,,Raymond McCartney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2165637,Ronald Broadhurst,Ronald Broadhurst,,male,207324999,1025874781,no2009081177,1906-12-25,,Ronald,,,,,,1976-01-01,0000 0003 5845 2993,,153094494,,133281035,,,,,,,,,,Ronald Broadhurst,,,,,,,Ronald Broadhurst,,Ronald Broadhurst,,,,,,,Ronald J. C. Broadhurst,,,Ronald Broadhurst,Ronald Broadhurst,,,Ronald Broadhurst,Ronald Broadhurst,Ronald Broadhurst,,,,,Ronald J. C. Broadhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2542530,"Wallace Browne, Baron Browne of Belmont","Wallace Browne, Baron Browne of Belmont",,male,,,,1947-10-29,,Wallace,,,,,,,,,,,,,,,,,,,,,"Wallace Browne, Baron Browne of Belmont",,,lords/lord-browne-of-belmont/3801,,,,,,"Wallace Browne, Baron Browne of Belmont",,,,,,,"Wallace Browne, Baron Browne of Belmont",,,"Wallace Browne, Baron Browne of Belmont",,,,,,,,,,,"Wallace Browne, Baron Browne of Belmont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2947124,William Thompson,William Thompson,,male,49305012,,,1939-10-26,,William,,,,,,2010-12-12,0000 0001 0898 9018,12379667h,032846266,,11277072X,,,,,,,,,,William Thompson (Ulster Unionist politician),,,,,,,William Thompson,,William Thompson,,,,,,,William Thompson,,,William Thompson,,,,,,,,,,,,,,,,,,,,,,William Thompson (politicus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Thompson,,,,,,,,,,,,,,,,,,,,,William Thompson (político),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3181858,John Kelly,John Kelly,,male,70215,,,1936-04-05,,John,,,,,,2007-09-06,0000 0001 1436 265X,,,,,,,,,,,,,,John Kelly (Sinn Féin politician),,,,,,,John Kelly,,,,,,,,,John Kelly,,,John Kelly,,,,,,,,,,,,,,,John Kelly (homme politique),,,,,,,,,,,,,,,,,,,,,جان کلی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3476695,Seamus Mallon,Seamus Mallon,,male,,,,1936-08-17,/m/01n7p0,Seamus,,,,,,,,,,,,,,,,,,,,mr-seamus-mallon,Seamus Mallon,,,,,,,Seamus Mallon,,Seamus Mallon,,,Seamus Mallon,,,,Seamus Mallon,,,Seamus Mallon,,,,,,,,,,,,,,Seamus Mallon,Seamus Mallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3499853,Jim Allister,Jim Allister,https://upload.wikimedia.org/wikipedia/commons/9/90/JimAllister.jpg,male,1990788,,nb2006011084,1953-04-02,/m/035ymk,Jim,,,,28512,,,,,,,,,,,,,,,,,Jim Allister,,,,,Jim Allister,,Jim Allister,,Jim Allister,,,Jim Allister,,,,Jim Allister,,Jim Allister,Jim Allister,Jim Allister,,,Jim Allister,Jim Allister,Jim Allister,,,,,Jim Allister,,,Jim Allister,,Jim Allister,,,,,,,Jim Allister,,,,,,,,,,,,,,,,,,,,,,Jim Allister,Jim Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3545632,Austin Currie,Austin Currie,,male,40485830,,,1939-10-11,,Austin,,,,,,,0000 0000 5544 1605,,09511209X,,,,,,,,,,,,Austin Currie,,,,,,,Austin Currie,,Austin Currie,,,,,,,Austin Currie,,Austin Currie,Austin Currie,,,,,,,,,,,,,,,,Austin Currie,,,,,,,,,,,,,,,,,Austin Currie,Austin Currie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
