id,name,image,given_name,family_name,sort_name,birth_date,gender,house,start_date,state,district,party,homepage,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,end_date
K000360,Mark Kirk,https://theunitedstates.io/images/congress/original/K000360.jpg,Mark,Kirk,"Kirk, Mark",1959-09-15,male,sen,2015-01-06,IL,,Republican,http://www.kirk.senate.gov,524 Hart Senate Office Building Washington DC 20510,202-224-2854,202-228-4611,112,ocd-division/country:us/state:il,K000360,01647,S339,400222,N00012539,33502,H0IL10120,85221,Mark Kirk,16544,Mark Kirk,323,gIQAfhXHAP,20115,2013-01-03
L000575,James Lankford,https://theunitedstates.io/images/congress/original/L000575.jpg,James,Lankford,"Lankford, James",1968-03-04,male,sen,2015-01-06,OK,,Republican,http://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754,,114,ocd-division/country:us/state:ok,L000575,02050,S378,412464,N00031129,124938,H0OK05114,1033847,James Lankford,17326,James Lankford,1470,gIQAcjhZKP,21166,2017-01-03
L000174,Patrick J. Leahy,https://theunitedstates.io/images/congress/original/L000174.jpg,Patrick,Leahy,"Leahy, Patrick",1940-03-31,male,sen,2015-01-06,VT,,Democrat,http://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,202-224-4242,202-224-3479,112,ocd-division/country:us/state:vt,L000174,01383,S057,300065,N00009918,53353,S4VT00017,1552,Patrick Leahy,,Patrick Leahy,586,gIQAQnnb9O,14307,2013-01-03
L000577,Mike Lee,https://theunitedstates.io/images/congress/original/L000577.jpg,Mike,Lee,"Lee, Mike",1971-06-04,male,sen,2015-01-06,UT,,Republican,http://www.lee.senate.gov,361A Russell Senate Office Building Washington DC 20510,202-224-5444,,112,ocd-division/country:us/state:ut,L000577,02080,S346,412495,N00031696,66395,S0UT00165,9267977,Mike Lee (U.S. politician),,Mike Lee,1500,gIQAwTVWKP,41110,2013-01-03
M000133,Edward J. Markey,https://theunitedstates.io/images/congress/original/M000133.jpg,Edward,Markey,"Markey, Edward",1946-07-11,male,sen,2015-01-06,MA,,Democrat,http://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,,114,ocd-division/country:us/state:ma,M000133,00735,S369,400253,N00000270,26900,H6MA07101,260,Ed Markey,17493,Ed Markey,351,gIQAdQUz9O,14435,2017-01-03
M000303,John McCain,https://theunitedstates.io/images/congress/original/M000303.jpg,John,McCain,"McCain, John",1936-08-29,male,sen,2015-01-06,AZ,,Republican,http://www.mccain.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-2235,202-228-2862,112,ocd-division/country:us/state:az,M000303,00754,S197,300071,N00006424,53270,S6AZ00019,7476,John McCain,17696,John McCain,592,gIQAXQHr9O,15039,2013-01-03
M000702,Barbara A. Mikulski,https://theunitedstates.io/images/congress/original/M000702.jpg,Barbara,Mikulski,"Mikulski, Barbara",1936-07-20,female,sen,2015-01-06,MD,,Democrat,http://www.mikulski.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-4654,202-224-8858,112,ocd-division/country:us/state:md,M000702,00802,S182,300073,N00001945,53304,S6MD00140,1396,Barbara Mikulski,18207,Barbara Mikulski,594,gIQApKSAAP,14440,2013-01-03
M000934,Jerry Moran,https://theunitedstates.io/images/congress/original/M000934.jpg,Jerry,Moran,"Moran, Jerry",1954-05-29,male,sen,2015-01-06,KS,,Republican,http://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,202-228-6966,112,ocd-division/country:us/state:ks,M000934,01507,S347,400284,N00005282,542,H6KS01096,45469,Jerry Moran,18505,Jerry Moran,379,gIQAdVZfAP,29722,2013-01-03
M001153,Lisa Murkowski,https://theunitedstates.io/images/congress/original/M001153.jpg,Lisa,Murkowski,"Murkowski, Lisa",1957-05-22,female,sen,2015-01-06,AK,,Republican,http://www.murkowski.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-6665,202-224-5301,112,ocd-division/country:us/state:ak,M001153,01694,S288,300075,N00026050,15841,S4AK00099,1004138,Lisa Murkowski,18778,Lisa Murkowski,595,gIQA6VzBAP,40300,2013-01-03
M001169,Christopher Murphy,https://theunitedstates.io/images/congress/original/M001169.jpg,Christopher,Murphy,"Murphy, Christopher",1973-08-03,male,sen,2015-01-06,CT,,Democrat,http://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,202-225-5933,113,ocd-division/country:us/state:ct,M001169,01837,S364,412194,N00027566,17189,H6CT05124,1021270,Chris Murphy (politician),18809,Christopher S. Murphy,681,gIQAXlFYMP,20707,2015-01-03
M001111,Patty Murray,https://theunitedstates.io/images/congress/original/M001111.jpg,Patty,Murray,"Murray, Patty",1950-10-11,female,sen,2015-01-06,WA,,Democrat,http://www.murray.senate.gov,154 Russell Senate Office Building Washington DC 20510,202-224-2621,202-224-0238,112,ocd-division/country:us/state:wa,M001111,01409,S229,300076,N00007876,53358,S2WA00189,25277,Patty Murray,18715,Patty Murray,596,gIQARXaU9O,49308,2013-01-03
P000603,Rand Paul,https://theunitedstates.io/images/congress/original/P000603.jpg,Rand,Paul,"Paul, Rand",1963-01-07,male,sen,2015-01-06,KY,,Republican,http://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,202-224-4343,202-228-1373,112,ocd-division/country:us/state:ky,P000603,02082,S348,412492,N00030836,117285,S0KY00156,9265241,Rand Paul,,Rand Paul,1497,gIQA5AakAP,41104,2013-01-03
P000595,Gary Peters,https://theunitedstates.io/images/congress/original/P000595.jpg,Gary,Peters,"Peters, Gary",1958-12-01,male,sen,2015-01-06,MI,,Democrat,http://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,,114,ocd-division/country:us/state:mi,P000595,01929,S380,412305,N00029277,8749,H8MI09068,50199,Gary Peters (Michigan politician),20028,Gary Peters,787,gIQA36BUKP,20923,2017-01-03
P000449,Rob Portman,https://theunitedstates.io/images/congress/original/P000449.jpg,Robert,Portman,"Portman, Robert",1955-12-19,male,sen,2015-01-06,OH,,Republican,http://www.portman.senate.gov,448 Russell Senate Office Building Washington DC 20510,202-224-3353,,112,ocd-division/country:us/state:oh,P000449,00924,S349,400325,N00003682,27008,S0OH00133,31819,Rob Portman,19838,Rob Portman,419,gIQAGuioAP,29386,2013-01-03
R000146,Harry Reid,https://theunitedstates.io/images/congress/original/R000146.jpg,Harry,Reid,"Reid, Harry",1939-12-02,male,sen,2015-01-06,NV,,Democrat,http://www.reid.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-3542,202-224-7327,112,ocd-division/country:us/state:nv,R000146,00952,S198,300082,N00009922,53320,S6NV00028,1683,Harry Reid,20266,Harry Reid,601,gIQA8MlN9O,15054,2013-01-03
R000595,Marco Rubio,https://theunitedstates.io/images/congress/original/R000595.jpg,Marco,Rubio,"Rubio, Marco",1971-05-28,male,sen,2015-01-06,FL,,Republican,http://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,202-228-0285,112,ocd-division/country:us/state:fl,R000595,02084,S350,412491,N00030612,1601,S0FL00338,87599,Marco Rubio,,Marco Rubio,1496,gIQA5xxt6O,41102,2013-01-03
S000148,Charles E. Schumer,https://theunitedstates.io/images/congress/original/S000148.jpg,Charles,Schumer,"Schumer, Charles",1950-11-23,male,sen,2015-01-06,NY,,Democrat,http://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,202-224-6542,202-228-3027,112,ocd-division/country:us/state:ny,S000148,01036,S270,300087,N00001093,26976,S8NY00082,5929,Chuck Schumer,21322,Chuck Schumer,606,gIQAOSQN9O,14858,2013-01-03
S001184,Tim Scott,https://theunitedstates.io/images/congress/original/S001184.jpg,Tim,Scott,"Scott, Tim",1965-09-19,male,sen,2015-01-06,SC,,Republican,http://www.scott.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-6121,202-225-3407,114,ocd-division/country:us/state:sc,S001184,02056,S365,412471,N00031782,11940,H0SC01279,623506,Tim Scott,22623,Tim Scott,1476,gIQAKxVWKP,21173,2017-01-03
S000320,Richard C. Shelby,https://theunitedstates.io/images/congress/original/S000320.jpg,Richard,Shelby,"Shelby, Richard",1934-05-06,male,sen,2015-01-06,AL,,Republican,http://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,202-224-5744,202-224-3416,112,ocd-division/country:us/state:al,S000320,01049,S184,300089,N00009920,53266,S6AL00013,1859,Richard Shelby,21534,Richard Shelby,608,gIQARAfM9O,14659,2013-01-03
T000250,John Thune,https://theunitedstates.io/images/congress/original/T000250.jpg,John,Thune,"Thune, John",1961-01-07,male,sen,2015-01-06,SD,,Republican,http://www.thune.senate.gov,511 Dirksen Senate Office Building Washington DC 20510,202-224-2321,202-228-5429,112,ocd-division/country:us/state:sd,T000250,01534,S303,400546,N00004572,398,S2SD00068,45552,John Thune,22937,John Thune,621,gIQAtDPp9O,29754,2013-01-03
T000461,Patrick J. Toomey,https://theunitedstates.io/images/congress/original/T000461.jpg,Patrick,Toomey,"Toomey, Patrick",1961-11-17,male,sen,2015-01-06,PA,,Republican,http://www.toomey.senate.gov,248 Russell Senate Office Building Washington DC 20510,202-224-4254,202-228-0284,112,ocd-division/country:us/state:pa,T000461,02085,S351,400408,N00001489,24096,S4PA00121,7958,Pat Toomey,23202,Pat Toomey,1406,gIQARUpBAP,29935,2013-01-03
V000127,David Vitter,https://theunitedstates.io/images/congress/original/V000127.jpg,David,Vitter,"Vitter, David",1961-05-03,male,sen,2015-01-06,LA,,Republican,http://www.vitter.senate.gov,516 Hart Senate Office Building Washington DC 20510,202-224-4623,202-228-5061,112,ocd-division/country:us/state:la,V000127,01609,S299,400418,N00009659,4615,S4LA00057,60672,David Vitter,21030,David Vitter,503,gIQAHam69O,29918,2013-01-03
W000779,Ron Wyden,https://theunitedstates.io/images/congress/original/W000779.jpg,Ron,Wyden,"Wyden, Ron",1949-05-03,male,sen,2015-01-06,OR,,Democrat,http://www.wyden.senate.gov,221 Dirksen Senate Office Building Washington DC 20510,202-224-5244,202-228-2717,112,ocd-division/country:us/state:or,W000779,01247,S247,300100,N00007724,27036,S6OR00110,1962,Ron Wyden,24150,Ron Wyden,619,gIQAfn599O,14871,2013-01-03
H001041,Dean Heller,https://theunitedstates.io/images/congress/original/H001041.jpg,Dean,Heller,"Heller, Dean",1960-05-10,male,sen,2015-01-06,NV,,Republican,http://www.heller.senate.gov,324 Hart Senate Office Building Washington DC 20510,202-224-6244,202-228-6753,113,ocd-division/country:us/state:nv,H001041,01863,S352,412218,N00027522,2291,H6NV02164,1012368,Dean Heller,15578,Dean Heller,703,gIQAljK0DP,20730,2015-01-03
S001194,Brian Schatz,https://theunitedstates.io/images/congress/original/S001194.jpg,Brian,Schatz,"Schatz, Brian",1972-10-20,male,sen,2015-01-06,HI,,Democrat,http://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,202-228-1153,114,ocd-division/country:us/state:hi,S001194,02173,S353,412507,N00028138,17852,S4HI00136,87784,Brian Schatz,,Brian E. Schatz,1728,a91363f0-5047-11e2-950a-7863a013264b,41112,2017-01-03
C001095,Tom Cotton,https://theunitedstates.io/images/congress/original/C001095.jpg,Tom,Cotton,"Cotton, Tom",1977-05-13,male,sen,2015-01-06,AR,,Republican,http://www.cotton.senate.gov,124 Russell Senate Office Building Washington DC 20510,202-224-2353,,114,ocd-division/country:us/state:ar,C001095,02098,S374,412508,N00033363,135651,H2AR04083,63928,Tom Cotton,,Tom Cotton,1732,8803d7f2-4bbb-11e2-8758-b64a2997a921,21301,2017-01-03
W000817,Elizabeth Warren,https://theunitedstates.io/images/congress/original/W000817.jpg,Elizabeth,Warren,"Warren, Elizabeth",1949-06-22,female,sen,2015-01-06,MA,,Democrat,http://www.warren.senate.gov,317 Hart Senate Office Building Washington DC 20510,202-224-4543,,113,ocd-division/country:us/state:ma,W000817,02182,S366,412542,N00033492,141272,S2MA00170,1023023,Elizabeth Warren,15032390639,Elizabeth Warren,1766,gIQAZHDx9O,41301,2015-01-03
K000383,"Angus S. King, Jr.",https://theunitedstates.io/images/congress/original/K000383.jpg,Angus,King,"King, Angus",1944-03-31,male,sen,2015-01-06,ME,,Independent,http://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,202-224-1946,113,ocd-division/country:us/state:me,K000383,02185,S363,412545,N00034580,22381,S2ME00109,37413,Angus King,,Angus King,1769,f79ee714-4bb6-11e2-8758-b64a2997a921,41300,2015-01-03
D000618,Steve Daines,https://theunitedstates.io/images/congress/original/D000618.jpg,Steve,Daines,"Daines, Steve",1962-08-20,male,sen,2015-01-06,MT,,Republican,http://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-2651,202-228-1236,114,ocd-division/country:us/state:mt,D000618,02138,S375,412549,N00033054,135720,H2MT01060,1034037,Steve Daines,,Steve Daines,1773,a8a98402-4bbb-11e2-8758-b64a2997a921,21338,2017-01-03
H001069,Heidi Heitkamp,https://theunitedstates.io/images/congress/original/H001069.jpg,Heidi,Heitkamp,"Heitkamp, Heidi",1955-10-30,female,sen,2015-01-06,ND,,Democrat,http://www.heitkamp.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-2043,202-224-7776,113,ocd-division/country:us/state:nd,H001069,02174,S360,412554,N00033782,41716,S2ND00099,95414,Heidi Heitkamp,15032390641,Heidi Heitkamp,1778,135fbac8-4bbc-11e2-8758-b64a2997a921,41303,2015-01-03
F000463,Deb Fischer,https://theunitedstates.io/images/congress/original/F000463.jpg,Deb,Fischer,"Fischer, Deb",1951-03-01,female,sen,2015-01-06,NE,,Republican,http://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510,202-224-6551,202-228-1325,113,ocd-division/country:us/state:ne,F000463,02179,S357,412556,N00033443,41963,S2NE00094,1034067,Deb Fischer,15032390640,Deb Fischer,1780,15a67e5c-4bb7-11e2-8758-b64a2997a921,41302,2015-01-03
C001098,Ted Cruz,https://theunitedstates.io/images/congress/original/C001098.jpg,Ted,Cruz,"Cruz, Ted",1970-12-22,male,sen,2015-01-06,TX,,Republican,http://www.cruz.senate.gov,404 Russell Senate Office Building Washington DC 20510,202-224-5922,202-228-3398,113,ocd-division/country:us/state:tx,C001098,02175,S355,412573,N00033085,135705,S2TX00312,1019953,Ted Cruz,,Ted Cruz,1797,b8d4a00a-4bbb-11e2-8758-b64a2997a921,41304,2015-01-03
K000384,Tim Kaine,https://theunitedstates.io/images/congress/original/K000384.jpg,Timothy,Kaine,"Kaine, Timothy",1958-02-26,male,sen,2015-01-06,VA,,Democrat,http://www.kaine.senate.gov,231 Russell Senate Office Building Washington DC 20510,202-224-4024,202-228-6363,113,ocd-division/country:us/state:va,K000384,02176,S362,412582,N00033177,50772,S2VA00142,49219,Tim Kaine,,Tim Kaine,1806,gIQAem3o9O,41305,2015-01-03
B001288,Cory A. Booker,https://theunitedstates.io/images/congress/original/B001288.jpg,Cory,Booker,"Booker, Cory",1969-04-27,male,sen,2015-01-06,NJ,,Democrat,http://www.booker.senate.gov,359 Dirksen Senate Office Building Washington DC 20510,202-224-3224,202-224-8378,114,ocd-division/country:us/state:nj,B001288,02194,S370,412598,N00035267,76151,S4NJ00185,84679,Cory Booker,,Cory Booker,2051,,,2017-01-03
S001198,Daniel Sullivan,https://theunitedstates.io/images/congress/original/S001198.jpg,Dan,Sullivan,"Sullivan, Dan",1964-11-13,male,sen,2015-01-06,AK,,Republican,http://www.sullivan.senate.gov,702 Hart Senate Office Building Washington DC 20510,202-224-3004,,114,ocd-division/country:us/state:ak,S001198,02290,S383,412665,N00035774,,S4AK00214,,,,,2121,,,2017-01-03
P000612,David Perdue,https://theunitedstates.io/images/congress/original/P000612.jpg,David,Perdue,"Perdue, David",1949-12-10,male,sen,2015-01-06,GA,,Republican,http://www.perdue.senate.gov,383 Russell Senate Office Building Washington DC 20510,202-224-3521,,114,ocd-division/country:us/state:ga,P000612,02286,S379,412666,N00035516,,S4GA11285,,,,,2122,,,2017-01-03
E000295,Joni Ernst,https://theunitedstates.io/images/congress/original/E000295.jpg,Joni,Ernst,"Ernst, Joni",1970-07-01,female,sen,2015-01-06,IA,,Republican,http://www.ernst.senate.gov,111 Russell Senate Office Building Washington DC 20510,202-224-3254,,114,ocd-division/country:us/state:ia,E000295,02283,S376,412667,N00035483,,S4IA00129,,,15032414877,,2123,,,2017-01-03
T000476,Thom Tillis,https://theunitedstates.io/images/congress/original/T000476.jpg,Thom,Tillis,"Tillis, Thom",1960-08-30,male,sen,2015-01-06,NC,,Republican,http://www.tillis.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,202-224-6342,,114,ocd-division/country:us/state:nc,T000476,02291,S384,412668,N00035492,,S4NC00162,,,,,2124,,,2017-01-03
R000605,Mike Rounds,https://theunitedstates.io/images/congress/original/R000605.jpg,Mike,Rounds,"Rounds, Mike",1954-10-24,male,sen,2015-01-06,SD,,Republican,http://www.rounds.senate.gov,502 Hart Senate Office Building Washington DC 20510,202-224-5842,,114,ocd-division/country:us/state:sd,R000605,02288,S381,412669,N00035187,,S4SD00049,,,,,2125,,,2017-01-03
S001197,Ben Sasse,https://theunitedstates.io/images/congress/original/S001197.jpg,Benjamin,Sasse,"Sasse, Benjamin",1972-02-22,male,sen,2015-01-06,NE,,Republican,http://www.sasse.senate.gov,386A Russell Senate Office Building Washington DC 20510,202-224-4224,,114,ocd-division/country:us/state:ne,S001197,02289,S382,412671,N00035544,,S4NE00090,,,,,2127,,,2017-01-03
B001210,Robert Byrd,https://theunitedstates.io/images/congress/original/B001210.jpg,Robert,Byrd,"Byrd, Robert",1917-11-20,male,sen,2015-01-06,WV,,Democrat,http://byrd.senate.gov,,,,110,ocd-division/country:us/state:wv,B001210,01299,S017,300016,N00002200,53359,S6WV00014,,Robert Byrd,10332,,,,1366,2009-01-03
C001041,Hillary Clinton,https://theunitedstates.io/images/congress/original/C001041.jpg,Hillary,Clinton,"Clinton, Hillary",1947-10-26,female,sen,2015-01-06,NY,,Democrat,http://clinton.senate.gov,,,,110,ocd-division/country:us/state:ny,C001041,01631,S278,300022,N00000019,55463,S0NY00188,,,11751,,,,40105,2009-01-03
E000194,John Ensign,https://theunitedstates.io/images/congress/original/E000194.jpg,John,Ensign,"Ensign, John",1958-03-25,male,sen,2015-01-06,NV,,Republican,http://ensign.senate.gov,119 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,,,110,ocd-division/country:us/state:nv,E000194,00348,S281,300040,N00006619,22139,S8NV00073,37076,John Ensign,12839,,,,29537,2009-01-03
K000105,Ted Kennedy,https://theunitedstates.io/images/congress/original/K000105.jpg,Edward,Kennedy,"Kennedy, Edward",1932-02-22,male,sen,2015-01-06,MA,,Democrat,http://kennedy.senate.gov/,,,,110,ocd-division/country:us/state:ma,K000105,01377,S055,300059,N00000308,53305,S6MA00015,,Ted Kennedy,,,,,10808,2009-01-03
L000447,Trent Lott,https://theunitedstates.io/images/congress/original/L000447.jpg,Trent,Lott,"Lott, Trent",1941-10-09,male,sen,2015-01-06,MS,,Republican,http://lott.senate.gov/,,,,110,ocd-division/country:us/state:ms,L000447,00707,S203,300069,N00003329,,S8MS00162,1886,Trent Lott,17151,,,,14031,2007-12-18
T000162,Craig Thomas,https://theunitedstates.io/images/congress/original/T000162.jpg,Craig,Thomas,"Thomas, Craig",1933-02-17,male,sen,2015-01-06,WY,,Republican,http://thomas.senate.gov/,,,,110,ocd-division/country:us/state:wy,T000162,01149,S246,300097,N00006246,,S4WY00055,,Craig L. Thomas,22827,,,,15633,2007-06-04
B000444,"Joseph Biden, Jr.",https://theunitedstates.io/images/congress/original/B000444.jpg,Joseph,Biden,"Biden, Joseph",1942-11-20,male,sen,2015-01-06,DE,,Democrat,http://biden.senate.gov,,,,111,ocd-division/country:us/state:de,B000444,01284,S010,300008,N00001669,53279,S8DE00012,34,Joe Biden,,,,,14101,2009-01-15
B001266,Roland Burris,https://theunitedstates.io/images/congress/original/B001266.jpg,Roland,Burris,"Burris, Roland",1937-08-03,male,sen,2015-01-06,IL,,Democrat,http://burris.senate.gov/,,,,111,ocd-division/country:us/state:il,B001266,01963,S328,412328,N00015389,18168,S4IL00057,2462,Roland Burris,10429,,,,40903,2010-11-29
K000373,Edward Kaufman,https://theunitedstates.io/images/congress/original/K000373.jpg,Edward,Kaufman,"Kaufman, Edward",1939-03-15,male,sen,2015-01-06,DE,,Democrat,http://kaufman.senate.gov/,,,,111,ocd-division/country:us/state:de,K000373,01964,S329,412329,N00030767,110918,,1030984,Ted Kaufman,,,,,40901,2010-11-15
L000572,George LeMieux,https://theunitedstates.io/images/congress/original/L000572.jpg,George,LeMieux,"LeMieux, George",1969-05-21,male,sen,2015-01-06,FL,,Republican,http://lemieux.senate.gov/,,,,111,ocd-division/country:us/state:fl,L000572,01971,S333,412380,N00031304,17431,S2FL00227,46456,George LeMieux,,,,,40911,2011-01-03
K000374,"Paul Kirk, Jr.",https://theunitedstates.io/images/congress/original/K000374.jpg,Paul,Kirk,"Kirk, Paul",1938-01-18,male,sen,2015-01-06,MA,,Democrat,http://kirk.senate.gov/ ,,,,111,ocd-division/country:us/state:ma,K000374,01972,S334,412381,N00031303,116298,,,,,,,,40912,2010-02-04
G000561,Carte Goodwin,https://theunitedstates.io/images/congress/original/G000561.jpg,Carte,Goodwin,"Goodwin, Carte",1974-02-27,male,sen,2015-01-06,WV,,Democrat,,,,,111,ocd-division/country:us/state:wv,G000561,01980,S336,412389,N00032762,126202,,9266706,Carte Goodwin,,,,,40914,2010-11-14
I000025,Daniel K. Inouye,https://theunitedstates.io/images/congress/original/I000025.jpg,Daniel,Inouye,"Inouye, Daniel",1924-09-07,male,sen,2015-01-06,HI,,Democrat,http://inouye.senate.gov/,722 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3934,202-224-6747,112,ocd-division/country:us/state:hi,I000025,01369,S051,300056,N00001762,53285,S4HI00011,2568,Daniel Inouye,15647,,,,4812,2012-12-17
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,sen,2015-01-06,HI,,Democrat,http://akaka.senate.gov,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6361,202-224-2126,110,ocd-division/country:us/state:hi,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,2009-01-03
B000468,Jeff Bingaman,https://theunitedstates.io/images/congress/original/B000468.jpg,Jeff,Bingaman,"Bingaman, Jeff",1943-10-03,male,sen,2015-01-06,NM,,Democrat,http://bingaman.senate.gov,703 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5521,202-224-2852,110,ocd-division/country:us/state:nm,B000468,01285,S167,300009,N00006518,53326,S2NM00021,590,Jeff Bingaman,,,,,14912,2009-01-03
C000705,Kent Conrad,https://theunitedstates.io/images/congress/original/C000705.jpg,Kent,Conrad,"Conrad, Kent",1948-03-12,male,sen,2015-01-06,ND,,Democrat,http://conrad.senate.gov,530 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2043,202-224-7776,110,ocd-division/country:us/state:nd,C000705,01307,S201,300026,N00004613,53331,S6ND00058,2517,Kent Conrad,,,,,15502,2009-01-03
H001016,Kay Bailey Hutchison,https://theunitedstates.io/images/congress/original/H001016.jpg,Kay,Hutchison,"Hutchison, Kay",1943-07-22,female,sen,2015-01-06,TX,,Republican,http://hutchison.senate.gov/,284 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5922,202-224-0776,110,ocd-division/country:us/state:tx,H001016,01368,S235,300054,N00005675,53349,S4TX00086,24713,Kay Bailey Hutchison,15537,,,,49306,2009-01-03
K000305,Herb Kohl,https://theunitedstates.io/images/congress/original/K000305.jpg,Herbert,Kohl,"Kohl, Herbert",1935-02-07,male,sen,2015-01-06,WI,,Democrat,http://kohl.senate.gov/,330 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5653,202-224-9787,110,ocd-division/country:us/state:wi,K000305,01380,S209,300061,N00004309,53362,S6WI00061,4030,Herb Kohl,,,,,15703,2009-01-03
K000352,Jon Kyl,https://theunitedstates.io/images/congress/original/K000352.jpg,Jon,Kyl,"Kyl, Jon",1942-04-25,male,sen,2015-01-06,AZ,,Republican,http://kyl.senate.gov/,730 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4521,202-224-2207,110,ocd-division/country:us/state:az,K000352,00655,S243,300062,N00006406,26721,S4AZ00030,,,16529,,,,15429,2009-01-03
L000304,Joseph I. Lieberman,https://theunitedstates.io/images/congress/original/L000304.jpg,Joseph,Lieberman,"Lieberman, Joseph",1942-02-24,male,sen,2015-01-06,CT,,Independent,http://lieberman.senate.gov/,706 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4041,202-224-9750,110,ocd-division/country:us/state:ct,L000304,01385,S210,300067,N00000616,53278,S8CT00022,4363,Joe Lieberman,,,,,15704,2009-01-03
L000504,Richard G. Lugar,https://theunitedstates.io/images/congress/original/L000504.jpg,Richard,Lugar,"Lugar, Richard",1932-04-04,male,sen,2015-01-06,IN,,Republican,http://lugar.senate.gov/,306 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4814,202-228-0360,110,ocd-division/country:us/state:in,L000504,01387,S105,300070,N00001764,53292,S4IN00014,255,Richard Lugar,,,,,14506,2009-01-03
N000180,Ben Nelson,https://theunitedstates.io/images/congress/original/N000180.jpg,Ben,Nelson,"Nelson, Ben",1941-05-17,male,sen,2015-01-06,NE,,Democrat,http://bennelson.senate.gov/,720 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6551,202-228-0012,110,ocd-division/country:us/state:ne,N000180,01627,S283,300077,N00005329,21744,S6NE00095,16991,Ben Nelson,,,,,40103,2009-01-03
S000663,Olympia J. Snowe,https://theunitedstates.io/images/congress/original/S000663.jpg,Olympia,Snowe,"Snowe, Olympia",1947-02-21,female,sen,2015-01-06,ME,,Republican,http://snowe.senate.gov/,154 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5344,202-224-1946,110,ocd-division/country:us/state:me,S000663,01085,S245,300091,N00000480,26885,S4ME00055,,,21955,,,,14661,2009-01-03
W000803,Jim Webb,https://theunitedstates.io/images/congress/original/W000803.jpg,Jim,Webb,"Webb, Jim",1946-02-09,male,sen,2015-01-06,VA,,Democrat,http://webb.senate.gov/,248 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4024,202-228-6363,110,ocd-division/country:us/state:va,W000803,01822,S315,412249,N00028058,60043,S6VA00127,1914,Jim Webb,,,,,40706,2009-01-03
B001268,Scott P. Brown,https://theunitedstates.io/images/congress/original/B001268.jpg,Scott,Brown,"Brown, Scott",1959-09-12,male,sen,2015-01-06,MA,,Republican,http://scottbrown.senate.gov,359 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-4543,,111,ocd-division/country:us/state:ma,B001268,01975,S335,412384,N00031174,18919,S0MA00109,9266532,Scott Brown,,,,,40913,2011-01-03
D000595,Jim DeMint,https://theunitedstates.io/images/congress/original/D000595.jpg,Jim,DeMint,"DeMint, Jim",1951-09-02,male,sen,2015-01-06,SC,,Republican,http://demint.senate.gov,167 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6121,202-228-5143,112,ocd-division/country:us/state:sc,D000595,01605,S302,400105,N00002472,25026,S4SC00083,57895,Jim DeMint,12566,,,,29936,2013-01-01
