name,wikiname,area,religion,group,party_wikiname,term,source,id,name__en,name__ar,name__es,name__de,name__fr,name__nl,wikipedia__ar,wikipedia__en,gender,name__pl,wikipedia__de,wikipedia__fr,wikipedia__pl,birth_date,identifier__freebase,given_name,name__it,name__ja,wikipedia__ja,image,identifier__viaf,name__he,wikipedia__he,death_date,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__ms,name__id,name__el,name__sv,name__pt,name__ru,name__tr,name__ca,name__fi,name__nn,name__frp,name__bg,name__nb,name__zh,name__pam,name__scn,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__frp,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pam,wikipedia__pt,wikipedia__ru,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__yo,wikipedia__zh,identifier__sudoc,identifier__munzinger,name__yi,name__hy,name__la,name__sl,name__fa,wikipedia__fa,wikipedia__hy,wikipedia__la,wikipedia__sl,wikipedia__yi,identifier__isni,identifier__gnd,identifier__lcauth,identifier__bnf,identifier__nli,name__arz,name__cs,wikipedia__arz,name__oc,name__gl,name__io,name__sh,name__hu,name__et,name__pt_br,wikipedia__cs,wikipedia__et,wikipedia__gl,wikipedia__hu,wikipedia__io,wikipedia__oc,wikipedia__sh,website,name__eu,name__eo,name__th,wikipedia__eo,wikipedia__eu,wikipedia__th,name__cy,wikipedia__cy,wikipedia__enwikiquote,identifier__imdb,name__br,wikipedia__br,family_name,name__en_ca,name__en_gb,name__ko,name__vi,name__uk,name__ie,wikipedia__ie,wikipedia__ko,wikipedia__uk,wikipedia__vi
Nicolas Ghosn,"",Koura,Greek Orthodox,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Habib,Farid Habib,Koura,Greek Orthodox,Lebanese Forces,Lebanese Forces,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3066889,Farid Habib,فريد حبيب,Farid Habib,Farid Habib,Farid Habib,Farid Habib,فريد حبيب,Farid Habib,male,,,Farid Habib,,1935-01-01,,Farid,,,,,,,,2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strida Geagea,Strida Geagea,Bsharri,Maronite,Lebanese Forces,Lebanese Forces,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Keyrouz,Elie Kayrouz,Bsharri,Maronite,Lebanese Forces,Lebanese Forces,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3050973,Elie Kayrouz,إيلي كيروز,Elie Kayrouz,Elie Kayrouz,Elie Keyrouz,Elie Kayrouz,إيلي كيروز,Elie Kayrouz,male,,,Elie Keyrouz,,1959-01-01,/m/02qnr1r,Elie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Zahra,Antoine Zahra (legislator),Batroun,Maronite,Lebanese Forces,Lebanese Forces,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2856820,Antoine Zahra,أنطوان زهرا,Antoine Zahra,Antoine Zahra,Antoine Zahra,Antoine Zahra,أنطوان زهرا,Antoine Zahra (legislator),male,,,Antoine Zahra,,1956-01-01,/m/026_32m,Antoine,Antoine Zahra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boutros Harb,Boutros Harb,Batroun,Maronite,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2922636,Boutros Harb,بطرس حرب,Boutros Harb,Boutros Harb,Boutros Harb,Boutros Harb,بطرس حرب,Boutros Harb,male,Butrus Harb,,Boutros Harb,Butrus Harb,1944-01-01,/m/03cbr7q,,,,,,136816326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walid Khoury,"",Jbeil,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Abi Ramia,"",Jbeil,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbas Hachem,"",Jbeil,Shia,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Aoun,Michel Aoun,Kesserwan,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q363392,Michel Aoun,ميشال عون,Michel Aoun,Michel Aoun,Michel Aoun,Michel Aoun,ميشال عون,Michel Aoun,male,Michel Aoun,Michel Aoun,Michel Aoun,Michel Aoun,1933-09-30,/m/03dz1z,Michel,Michel Aoun,,,,97057508,מישל עאון,מישל עאון,,,,,,,,,,Michel Aoun,,,,Michel Aoun,Michel Aoun,Мишель Наим Аун,,,Michel Aoun,,,,Michel Aoun,,,,,,,,Michel Aoun,Michel Aoun,,,Michel Aoun,,,Michel Aoun,,Michel Aoun,,Michel Aoun,"Аун, Мишель Наим",,,Michel Aoun,,Michel Aoun,,034488863,00000019233,מישעל אאון,Միշել Աուն,Michael Aoun,Michel Aun,میشل عون,میشل عون,Միշել Աուն,Michael Aoun,Michel Aun,מישעל אאון,0000 0000 6936 4276,119042843,n2006028505,125240209,000256432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neemtallah Abi Nasr,Christian Democratic Union (Lebanon),Kesserwan,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Khalil,"",Kesserwan,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilberte Zouein,"",Kesserwan,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Elias el-Khazen,Farid Elias el-Khazen,Kesserwan,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Kanaan,"",Metn,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabil Nicolas,"",Metn,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salim Salhab,"",Metn,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samy Gemayel,Samy Gemayel,Metn,Maronite,Kataeb,Kataeb,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2919005,Samy Gemayel,سامي الجميّل,Samy Gemayel,Samy Gemayel,Samy Gemayel,Samy Gemayel,سامي الجميل,Samy Gemayel,male,Samy Dżemajel,,Samy Gemayel,Sami al-Dżumajjil,1980-12-03,/m/05mtg57,Samy,Samy Gemayel,,,,,סאמי ג'ומאייל,סאמי ג'ומאייל,,,,,,,,,,,,,,,,,,,,,,,,,Samy Gemayel,,,,,,,,,,,,,,,,Samy Gemayel,,,,,,,,,,,,,,,,,,,,,,,,,,سامى الجميل,,سامى الجميل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghassan Moukheiber,"",Metn,Greek Orthodox,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Murr,Michel Murr,Metn,Greek Orthodox,Independent,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q1738970,Michel Murr,ميشال المرّ,Michel Murr,Michel Murr,Michel Murr,Michel Murr,ميشال المر,Michel Murr,male,Michel Murr,Michel Murr,Michel Murr,Michel Murr,1932-01-01,/m/09chg_,Michel,,,,,,מישל מור,מישל מור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Murr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgard Maalouf,"",Metn,Greek Catholic,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hagop Pakradounian,Hagop Pakradounian,Metn,Armenian Orthodox,Tashnag,Tashnag,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3125719,Hagop Pakradounian,هاغوب بقرادونيان,,Hagop Pakradounian,Hagop Pakradounian,Hagop Pakradounian,هاغوب بقرادونيان,Hagop Pakradounian,male,Hagop Pakradonian,,Hagop Pakradounian,Hagop Pakradonian,1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naji Gharios,"",Baabda,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hikmat Dib,"",Baabda,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alain Aoun,"",Baabda,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Ammar,Ali Ammar,Baabda,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilal Farhat,"",Baabda,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fady el Aawar,"",Baabda,Druz,Lebanese Democratic Party,Lebanese Democratic Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talal Arslan,Talal Arslan,Aley,Druz,Lebanese Democratic Party,Lebanese Democratic Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2379068,Talal Arslan,طلال أرسلان,Talal Arslan,Talal Arslan,Talal Arslane,Talal Arslan,طلال أرسلان,Talal Arslan,male,Talal Arslan,Talal Arslan,Talal Arslane,Talal Arslan,1965-06-12,/m/047nxtn,,,,,,,טלאל ארסלן,טלאל ארסלן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akram Chehayeb,Akram Chehayeb,Aley,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2829137,Akram Chehayeb,أكرم شهيب,Akram Chehayeb,Akram Chehayeb,Akram Chehayeb,Akram Chehayeb,أكرم شهيب,Akram Chehayeb,male,Akram Szihajeb,,Akram Chehayeb,Akram Szihajeb,1947-10-17,/m/0qfv34l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henri Helou,"",Aley,Maronite,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fouad Saad,"",Aley,Maronite,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fady Habr,"",Aley,Greek Orthodox,Kataeb,Kataeb,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walid Jumblatt,Walid Jumblatt,Chouf,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q380437,Walid Jumblatt,وليد جنبلاط,Walid Jumblatt,Walid Dschumblat,Walid Joumblatt,Walid Jumblatt,وليد جنبلاط,Walid Jumblatt,male,Walid Dżumblatt,Walid Dschumblat,Walid Joumblatt,Walid Dżumblatt,1949-08-07,/m/028fct,Walid,Walid Jumblatt,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Jumblatt.jpg,72205766,וליד ג'ונבלאט,וליד ג'ונבלאט,,,,,,,,,,,,,,Walid Jumblatt,Walid Jumblatt,"Джумблат, Валид",Velid Canbolat,,,,,,,,,,,,,,Walid Jumblatt,,,,Walid Jumblatt,,,Walid Jumblatt,,,,Walid Jumblatt,"Джумблат, Валид",,,Walid Jumblatt,Velid Canbolat,,,,,וואליד זשומבלאט,,,Valid Džumblat,ولید جنبلاط,ولید جنبلاط,,,Valid Džumblat,וואליד זשומבלאט,,119516292,,,,,,,,,,,Valid Dzsumblatt,,,,,,,,,,,,Walid Jumblatt,,Walid Jumblatt,,,Walid Jumblatt,Walid Jumblatt,Walid Jumblatt,nm2674607,,,,,,,,,,,,,
Marwan Hamadeh,Marwan Hamadeh,Chouf,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q743555,Marwan Hamadeh,مروان حمادة,Marwan Hamadeh,Marwan Hamadeh,Marwan Hamadé,Marwan Hamadeh,مروان حمادة,Marwan Hamadeh,male,Marwan Hamadeh,Marwan Hamadeh,Marwan Hamadé,Marwan Hamadeh,1939-09-11,/m/09br2t,Marwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Aoun,"",Chouf,Maronite,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dory Chamoun,Dory Chamoun,Chouf,Maronite,National Liberal Party,National Liberal Party (Lebanon),2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q1250858,Dory Chamoun,دوري شمعون,Dory Chamoun,Dory Chamoun,Dory Chamoun,Dory Chamoun,دوري شمعون,Dory Chamoun,male,Dory Szamun,Dory Chamoun,Dory Chamoun,Dory Szamun,1931-11-08,/m/05hf67,,,,,,,דורי שמעון,דורי שמעון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Adwan,Georges Adwan,Chouf,Maronite,Lebanese Forces,Lebanese Forces,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3102173,Georges Adwan,جورج عدوان,Georges Adwan,Georges Adwan,Georges Adouan,Georges Adwan,جورج عدوان,Georges Adwan,male,Georges Adwan,,Georges Adouan,Georges Adwan,1947-01-01,/m/02qzq8g,Georges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehme Tohme,"",Chouf,Greek Catholic,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaeddine Terro,Alaaeddine Terro,Chouf,Sunni,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q4705133,Alaaeddine Terro,,,Alaaeddine Terro,Alaaeddine Terro,,,Alaaeddine Terro,male,,,,,1953-01-01,,,Alaaeddine Terro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Najjar,Ibrahim Najjar,Chouf,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3147509,Ibrahim Najjar,إبراهيم نجار,,Ibrahim Najjar,Ibrahim Najjar,Ibrahim Najjar,إبراهيم نجار,Ibrahim Najjar,male,Ibrahim Nadżdżar,,Ibrahim Najjar,Ibrahim Nadżdżar,,,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahia Hariri,Bahia Hariri,Saida,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q468909,Bahia Hariri,بهية الحريري,Bahia Hariri,Bahiya al-Hariri,Bahia Hariri,Bahia Hariri,بهية الحريري,Bahia Hariri,female,Bahija Hariri,Bahiya al-Hariri,Bahia Hariri,Bahijja al-Hariri,1952-06-23,/m/031z9m,,,バヒーヤ・ハリーリー,バヒーヤ・ハリーリー,https://upload.wikimedia.org/wikipedia/commons/7/7f/BahiaHariri2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fouad Siniora,Fouad Siniora,Saida,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q314263,Fouad Siniora,فؤاد السنيورة,Fuad Siniora,Fuad Siniora,Fouad Siniora,Fouad Siniora,فؤاد السنيورة,Fouad Siniora,male,Fouad Siniora,Fuad Siniora,Fouad Siniora,Fouad Siniora,1943-04-14,/m/06v1zk,Fouad,Fouad Siniora,フアード・シニオラ,フアード・シニオラ,https://upload.wikimedia.org/wikipedia/commons/9/94/Fouad_Sinora.jpg,205003269,פואד סניורה,פואד סניורה,,,,福阿德·西尼乌拉,福阿德·西尼烏拉,福阿德·西尼烏拉,福阿德·西尼乌拉,福阿德·西尼乌拉,福阿德·西尼烏拉,Fouad Siniora,Fouad Siniora,Fouad Siniora,Φουάτ Σινιόρα,Fouad Siniora,Fuad Siniora,"Синьора, Фуад",Fuad Sinyora,Fouad Siniora,Fuad Siniora,Fouad Siniora,Fouad Siniora,Фуад Синиора,Fouad Siniora,福阿德·西尼乌拉,Fouad Siniora,Fuad Siniora,Фуад Синиора,Fouad Siniora,Fouad Siniora,Φουάτ Σινιόρα,Fuad Siniora,Fuad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fouad Siniora,Fuad Siniora,"Синьора, Фуад",Fuad Siniora,Fouad Siniora,Fouad Siniora,Fuad Sinyora,Fouad Siniora,福阿德·西尼乌拉,136682219,00000025815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
